#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      426.5   538.1   160.7   228.3   245.9   345.9   399.7   432.7   459.6   494.8   549.6   678.3  2488.5  8056.4 16389.3  29902.0    30000  1714493284208  1714493294349
read      455.3   569.7   160.7   239.2   260.3   385.2   450.7   493.0   528.9   579.3   656.9   815.5  1570.4  6042.5 15667.7  29998.6    30005  1714493295858  1714493305989
read      375.7   413.4   160.7   226.8   243.1   331.0   377.4   403.8   424.4   448.3   480.2   541.4  1004.2  7202.7 15875.7  29928.1    30010  1714493307496  1714493317609
read      369.6   488.7   160.7   225.7   241.5   327.6   373.4   399.9   419.7   442.0   470.6   521.8   692.8  8657.4 19910.0  29945.1    30015  1714493319116  1714493329228
read      433.2   836.6   160.7   229.4   247.1   346.5   400.7   432.6   457.5   488.2   531.6   613.8  1573.3 12579.9 26429.3  30044.1    30020  1714493330735  1714493340846
read      408.1   604.1   160.7   230.7   248.2   344.5   395.8   425.7   448.3   475.8   518.4   608.2  1236.5  9349.1 24193.6  29995.2    30025  1714493342354  1714493352466
read      410.1   491.6   160.7   232.9   251.5   356.8   412.1   445.2   469.8   502.1   547.0   628.9   930.3  8478.0 16190.8  29988.4    30030  1714493353973  1714493364088
read      361.8   236.6   160.7   225.0   241.5   335.6   384.5   411.6   430.8   454.1   483.9   537.2   733.5  3020.0  9190.1  30020.6    30035  1714493365594  1714493375705
read      347.5   207.8   160.7   223.7   239.7   327.7   372.7   398.5   417.2   437.4   465.3   506.8   623.2  1702.2  8679.1  30074.7    30040  1714493377213  1714493387326
read      353.2   214.4   160.7   223.0   239.7   332.4   379.9   405.6   425.0   446.8   473.0   520.4   658.6  2007.0 11736.0  30014.5    30045  1714493388833  1714493398947
read      351.1   194.5   148.8   222.4   238.7   330.4   377.0   403.1   422.8   444.8   471.4   516.5   642.3  2024.9  8435.9  30061.6    30050  1714493400455  1714493410565
read      352.9   209.1   148.8   222.3   239.1   332.8   380.3   406.4   425.6   447.2   472.7   517.4   640.9  1930.8  8788.3  30053.5    30055  1714493412072  1714493422181
read      354.1   422.9   160.7   226.3   243.0   333.9   380.6   406.2   425.2   446.5   471.4   513.2   641.5  1443.1  8368.0  30080.1    30060  1714493423688  1714493433805
read      349.9   186.5   160.7   231.0   247.4   332.0   374.5   399.4   417.5   436.9   463.0   500.9   611.4  1331.8  8038.6  30001.3    30065  1714493435313  1714493445424
read      353.7   214.8   160.7   227.4   244.3   333.2   378.5   403.8   423.3   444.9   470.3   510.6   637.0  2037.9  9146.8  29986.2    30070  1714493446933  1714493457043
read      345.2   208.1   160.7   228.2   244.0   325.1   366.9   391.4   408.8   429.9   456.2   494.4   601.3  2075.4  8642.3  30092.3    30075  1714493458552  1714493468668
