#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      332.4   192.2   160.7   220.8   234.9   312.2   351.9   374.8   393.2   414.4   442.5   488.4   587.9  1837.0  8715.9  30055.4    30000  1714917554702  1714917564879
read      324.7   202.9   160.7   219.0   231.2   303.6   340.9   363.9   380.9   401.7   431.4   478.1   578.1  1623.1  8330.6  29942.4    30005  1714917566386  1714917576533
read      338.5   200.4   160.7   225.9   240.8   317.7   357.2   380.6   398.2   420.7   450.6   498.0   590.1  1667.5  9540.2  29938.5    30010  1714917578042  1714917588158
read      330.8   170.9   160.7   223.2   237.4   310.1   347.3   370.7   389.0   410.6   441.3   492.1   588.7  1563.1  7961.6  29950.2    30015  1714917589666  1714917599785
read      363.1   288.1   160.7   224.8   241.7   329.2   372.8   400.0   421.7   448.3   485.5   546.6   822.0  4244.4 10944.1  30102.0    30020  1714917601292  1714917611407
read      368.9   335.3   160.7   228.7   245.2   336.3   381.7   407.9   429.1   455.9   492.8   550.0   734.3  5121.9 11852.6  30050.5    30025  1714917612916  1714917623030
read      381.2   536.3   160.7   225.2   241.1   329.2   375.7   404.2   428.1   457.6   498.4   566.7   790.6  9462.5 20374.2  30121.3    30030  1714917624538  1714917634656
read      354.1   445.7   160.7   220.0   233.5   312.0   354.9   381.8   402.0   429.4   466.4   528.4   703.5  7579.8 19377.5  30048.4    30035  1714917636167  1714917646283
read      336.1   309.6   160.7   219.3   230.9   302.9   342.4   367.3   386.6   410.3   443.7   497.0   637.0  4518.5 11891.5  29915.7    30040  1714917647792  1714917657910
read      323.0   295.0   160.7   215.7   226.6   291.9   328.6   351.8   370.5   394.7   427.0   478.5   594.4  4088.3 13258.2  30046.6    30045  1714917659416  1714917669549
read      320.5   240.9   160.7   218.7   229.0   293.0   328.1   350.6   368.6   391.9   424.6   476.3   588.4  2904.8 12129.4  30014.3    30050  1714917671057  1714917681171
read      339.9   314.8   160.7   220.3   233.0   307.6   347.3   372.6   392.7   417.4   452.0   506.2   631.2  4735.5 11947.1  30108.5    30055  1714917682679  1714917692790
read      347.2   285.4   160.7   223.6   237.6   315.1   357.9   383.5   402.3   427.9   462.4   516.8   656.2  4700.8  9469.0  30043.7    30060  1714917694298  1714917704413
read      344.0   336.9   160.7   221.2   234.6   310.8   352.4   378.1   397.9   423.0   456.9   509.8   638.4  4667.0 12543.8  30110.7    30065  1714917705921  1714917716038
read      365.1   400.7   160.7   223.6   238.2   320.8   366.5   394.3   415.9   443.2   482.0   544.2   780.7  6728.5 16077.4  30079.6    30070  1714917717548  1714917727668
read      335.7   174.9   160.7   223.5   238.7   315.7   354.9   378.1   396.1   418.4   448.4   496.0   590.8  1546.3  8037.2  30057.6    30075  1714917729177  1714917739313
read      320.1   176.1   160.7   221.6   234.2   298.7   332.5   353.4   369.8   391.9   422.6   471.5   572.1  1738.2  8246.3  30024.6    30080  1714917740821  1714917750934
read      338.5   212.7   160.7   223.4   238.6   317.2   357.3   380.6   398.3   421.0   451.2   499.0   594.1  1872.0  8264.2  30079.2    30085  1714917752440  1714917762565
read      340.1   570.4   160.7   222.1   237.4   314.4   354.1   377.5   395.9   418.5   448.8   497.1   597.5  2383.3 10750.0  30152.8    30090  1714917764074  1714917774186
read      332.4   200.9   160.7   224.4   239.0   311.2   347.2   370.0   387.6   408.2   438.6   488.9   587.3  1820.1  9254.8  30054.6    30095  1714917775693  1714917785803
read      329.4   193.9   160.7   223.7   237.3   308.9   345.7   368.9   386.6   407.1   436.3   483.9   579.5  1471.5  9467.8  30146.4    30100  1714917787310  1714917797418
read      335.0   187.7   160.7   223.5   238.2   313.8   352.6   375.8   394.2   416.2   445.7   494.3   591.7  2007.8  8017.5  30054.2    30105  1714917798925  1714917809038
read      341.8   235.9   160.7   223.1   238.5   319.3   360.0   383.5   400.7   423.7   454.0   501.3   601.6  2481.5 11066.6  30120.8    30110  1714917810544  1714917820660
read      340.1   185.0   160.7   221.1   236.9   319.9   361.5   385.7   402.9   426.2   456.7   504.8   608.4  1730.5  8044.5  30141.6    30115  1714917822170  1714917832289
read      335.1   192.3   160.7   222.7   238.0   313.8   352.2   374.9   393.8   416.4   447.1   496.9   594.8  1871.6  8432.7  30138.4    30120  1714917833796  1714917843911
read      339.9   183.3   160.7   222.0   237.1   319.7   362.2   386.7   403.9   427.6   458.4   506.0   599.2  1536.1  8413.0  30111.4    30125  1714917845418  1714917855545
read      344.4   681.4   148.8   223.3   239.3   322.3   362.9   386.6   403.2   426.3   456.2   503.3   609.2  1960.6  8546.0  30127.6    30130  1714917857052  1714917867168
Connection.cc(491): Unexpected EOF from server.
Connection.cc(489): BEV_EVENT_ERROR for 100.96.3.6:11211 : Connection reset by peer
Connection.cc(491): Unexpected EOF from server.
