#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      437.4   500.5   160.7   240.2   259.1   368.6   426.3   461.6   489.6   525.9   580.1   693.6  1822.7  7880.2 16257.7  30083.0    30000  1714579863114  1714579873275
read      488.1   499.4   160.7   248.8   270.8   405.9   474.5   520.5   557.1   609.7   693.3   888.8  1878.6  7761.9 15873.8  29933.2    30005  1714579874790  1714579884929
read      414.4   436.9   160.7   237.7   255.5   360.6   415.2   447.5   471.2   503.5   548.7   642.3  1248.1  7405.3 15828.4  29865.8    30010  1714579886438  1714579896552
read      386.3   427.4   173.5   236.3   252.4   344.2   392.7   420.9   441.3   466.6   500.9   553.8   739.1  7625.3 15386.5  30066.1    30015  1714579898062  1714579908179
read      525.7  4648.2   173.5   250.7   271.4   395.7   462.9   504.8   537.5   578.5   634.3   742.9  2530.3 15805.6 25185.2  21257.5    30020  1714579909688  1714579919802
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30025  1714579921310  1714579931422
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30030  1714579932930  1714579943105
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30035  1714579944620  1714579954880
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30040  1714579956391  1714579966656
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30045  1714579968164  1714579978280
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30050  1714579979788  1714579989902
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30055  1714579991410  1714580001520
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30060  1714580003030  1714580013144
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30065  1714580014652  1714580024765
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30070  1714580026272  1714580036393
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30075  1714580037903  1714580048019
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30080  1714580049529  1714580059643
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30085  1714580061152  1714580071259
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30090  1714580072767  1714580082878
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30095  1714580084387  1714580094511
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30100  1714580096020  1714580106134
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30105  1714580107644  1714580117757
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30110  1714580119267  1714580129384
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30115  1714580130892  1714580141005
read        0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.0    30120  1714580142515  1714580152627
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 88.47%,30.81%,100.00%
