#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      317.3   188.6   160.7   219.7   231.4   295.3   329.1   350.3   367.7   389.7   420.6   469.4   556.5  1847.5  8140.2  29988.7    30000  1714916611647  1714916621812
read      327.4   198.7   160.7   219.3   232.8   306.6   344.6   368.0   385.4   404.8   434.0   480.7   573.8  1888.7  8322.8  30050.7    30005  1714916623321  1714916633466
read      330.7   206.3   148.8   217.2   231.4   309.7   350.0   374.3   392.8   414.2   442.6   488.5   581.0  1800.6  9513.0  29872.0    30010  1714916634974  1714916645095
read      338.7   186.6   160.7   224.0   239.9   318.4   358.6   382.2   399.6   421.8   450.6   496.4   589.5  2090.7  8119.5  29975.7    30015  1714916646604  1714916656721
read      318.5   201.4   160.7   215.5   227.2   293.8   330.3   352.8   370.2   392.9   423.6   470.6   585.9  2477.4  8271.9  29980.9    30020  1714916658228  1714916668354
read      490.3   625.5   160.7   242.9   263.0   385.0   451.8   494.9   530.5   578.9   658.7   863.0  2820.9  8529.1 18266.8  30033.5    30025  1714916669861  1714916679976
read      368.0   485.4   160.7   225.8   240.3   320.5   365.7   393.2   414.1   439.5   475.0   538.4   774.1  8249.5 19424.2  29998.6    30030  1714916681485  1714916691602
read      376.2   524.6   160.7   224.9   239.4   320.3   367.4   395.9   418.1   445.9   485.1   547.1   785.0  8685.7 19354.2  30022.9    30035  1714916693110  1714916703232
read      336.5   217.9   160.7   220.1   232.9   308.9   350.3   375.6   395.8   420.9   454.7   506.3   622.7  3413.8  8420.1  29958.8    30040  1714916704739  1714916714855
read      330.9   282.1   160.7   219.9   231.1   299.1   338.0   362.7   381.7   405.4   440.2   495.2   611.6  4366.5  8790.1  30016.5    30045  1714916716362  1714916726474
read      325.8   291.3   160.7   218.5   229.0   294.3   331.4   355.4   373.8   398.7   432.6   487.1   592.9  4023.4 11010.0  30159.4    30050  1714916727982  1714916738100
read      326.2   296.5   160.7   217.1   228.5   295.6   333.6   357.8   375.9   400.0   433.5   486.2   593.9  3422.7 10750.1  30120.9    30055  1714916739609  1714916749724
read      343.3   339.4   160.7   219.8   231.9   309.7   352.5   378.6   398.7   424.7   459.3   511.8   646.3  4638.6 15427.1  30093.2    30060  1714916751232  1714916761349
read      328.8   375.2   160.7   218.4   228.6   294.1   332.6   357.3   376.0   400.5   433.8   487.4   602.4  4360.2 16842.7  30041.6    30065  1714916762855  1714916772970
read      332.7   318.5   160.7   216.1   228.0   300.5   341.9   367.5   387.5   412.0   446.4   499.7   615.0  4142.6 12732.7  30063.2    30070  1714916774478  1714916784591
read      365.7   485.5   160.7   224.2   238.8   314.4   355.8   382.4   403.0   431.6   470.3   533.7   883.4  8186.1 19262.6  30122.3    30075  1714916786100  1714916796211
read      333.1   203.6   160.7   223.2   238.2   311.6   348.7   371.9   390.5   412.8   443.8   492.4   586.3  1727.4  9476.8  30047.3    30080  1714916797719  1714916807834
read      332.1   171.6   160.7   223.0   238.0   311.4   349.2   373.1   392.2   414.7   444.9   491.8   579.6  1745.2  7924.5  30120.1    30085  1714916809341  1714916819455
read      318.8   171.8   160.7   219.6   231.5   297.2   331.6   353.2   370.3   392.8   424.3   475.1   568.6  1620.8  7943.7  30130.9    30090  1714916820961  1714916831084
read      331.3   179.2   160.7   219.6   233.4   310.2   349.5   373.6   392.6   415.0   445.0   491.4   583.6  1927.7  7979.7  30174.6    30095  1714916832593  1714916842716
read      328.7   167.8   160.7   220.4   234.0   308.7   347.2   371.1   389.7   411.3   440.5   487.1   578.0  1454.8  8135.9  30069.4    30100  1714916844223  1714916854344
read      326.2   193.1   160.7   221.6   234.6   304.8   341.6   364.7   382.1   403.2   433.8   481.7   572.3  1650.6  8506.6  30148.1    30105  1714916855854  1714916865968
read      335.1   195.4   160.7   214.2   229.0   314.1   356.5   381.0   399.4   423.1   454.3   501.7   600.8  2043.2  8376.9  30174.4    30110  1714916867475  1714916877595
read      327.2   211.5   160.7   219.7   232.3   305.0   342.9   366.5   384.4   405.2   436.2   485.5   577.5  1699.7 10795.0  30070.6    30115  1714916879101  1714916889215
read      327.8   178.4   160.7   221.2   234.7   307.2   344.6   368.1   386.1   407.2   437.6   486.5   575.7  1475.7  8192.4  30099.6    30120  1714916890724  1714916900841
read      334.6   206.6   148.8   217.2   231.6   314.5   356.5   380.8   398.5   421.0   450.2   495.4   584.4  1724.9 10232.5  30080.7    30125  1714916902348  1714916912462
read      328.6   173.9   160.7   219.4   232.4   308.1   347.5   371.6   390.2   411.9   440.9   488.5   580.9  1508.6  8138.0  30056.0    30130  1714916913969  1714916924084
read      331.5   218.4   160.7   223.6   237.7   308.8   344.9   367.9   385.6   406.4   436.9   487.9   584.6  2265.4  9980.5  30149.4    30135  1714916925590  1714916935706
Connection.cc(491): Unexpected EOF from server.
Connection.cc(491): Unexpected EOF from server.
Connection.cc(491): Unexpected EOF from server.
