#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      360.0   424.6   160.7   226.9   255.1   339.2   365.4   379.4   390.2   401.1   418.7   444.1   569.6  6299.6 14804.2   4935.0     5000  1715110530044  1715110535509
read      383.2   395.2   160.7   214.4   230.8   373.5   413.4   433.1   447.3   462.5   482.3   510.6   609.8  5341.9 19270.0  10073.8    10000  1715110537012  1715110542405
read      379.1   290.8   148.8   206.4   221.3   375.5   434.0   460.1   477.1   496.0   518.1   548.7   633.2  3852.3 12394.0  15090.8    15000  1715110543909  1715110549254
read      379.5   227.0   148.8   202.1   216.0   370.0   447.9   482.2   503.5   526.1   549.3   585.6   657.7  1707.8  8393.3  20096.8    20000  1715110550758  1715110556091
read      379.5   219.6   148.8   199.6   214.2   356.6   443.5   485.0   510.7   537.1   567.7   609.5   690.9  1392.2  8673.5  25076.2    25000  1715110557595  1715110562917
read      371.7   236.5   148.8   198.9   212.6   334.2   423.4   472.8   504.1   537.3   574.8   624.7   722.4  1103.9  9152.9  29937.2    30000  1715110564420  1715110569762
read      378.5   239.7   148.8   197.3   211.5   343.6   429.8   479.3   512.8   547.7   586.7   637.0   743.9  1094.3 10495.0  35049.8    35000  1715110571266  1715110576591
read      387.3   294.0   148.8   196.4   210.8   353.5   436.5   485.9   519.8   556.0   596.6   654.5   773.6  3345.7 12271.0  40043.8    40000  1715110578094  1715110583406
read      389.1   251.3   148.8   196.0   210.6   356.1   444.9   494.9   529.7   567.6   611.9   673.6   806.2  1184.9  8873.4  44818.0    45000  1715110584910  1715110590226
read      375.8   232.9   148.8   195.1   208.9   339.4   420.9   470.3   506.5   546.8   593.2   658.4   800.2  1198.5  9825.3  50136.6    50000  1715110591730  1715110597031
read      386.9   231.7   148.8   197.8   212.7   346.5   435.3   487.3   523.7   563.4   611.1   680.9   851.7  1351.4 10919.3  54750.6    55000  1715110598535  1715110603841
read      381.5   206.3   148.8   198.8   213.2   337.3   424.2   474.5   511.1   555.0   609.1   688.1   901.2  1281.9  7214.3  60073.1    60000  1715110605345  1715110610660
read      373.9   214.8   148.8   196.5   210.0   326.6   407.1   458.9   498.1   544.9   602.8   683.6   913.0  1476.1  7800.8  65080.6    65000  1715110612163  1715110617489
read      375.7   225.0   148.8   195.4   208.9   324.4   409.5   461.7   501.6   548.2   607.4   696.9   938.2  1450.9  8215.6  69886.2    70000  1715110618992  1715110624315
read      372.6   200.2   148.8   196.1   209.4   319.1   400.1   452.5   493.7   542.8   605.5   703.4   989.4  1471.8  5437.3  74995.2    75000  1715110625819  1715110631125
read      377.0   209.2   148.8   197.2   211.4   325.8   406.4   457.4   496.7   543.7   605.9   707.8   989.2  1478.0  5963.3  80260.2    80000  1715110632629  1715110637939
read      358.1   186.7   148.8   195.1   208.0   309.1   378.6   424.2   461.7   509.9   576.5   675.1   936.0  1477.9  5251.3  84637.2    85000  1715110639442  1715110644763
read      365.5   206.9   148.8   197.8   211.2   313.2   383.7   429.8   468.0   518.3   584.7   692.6  1013.7  1495.2  5131.8  89973.0    90000  1715110646266  1715110651575
read      380.2   239.5   148.8   200.9   214.9   321.6   393.9   441.3   481.4   533.3   605.5   741.4  1155.7  1909.9  8095.8  94876.2    95000  1715110653078  1715110658390
read      370.4   227.4   148.8   200.6   213.9   311.3   376.0   421.6   460.8   514.9   591.1   733.4  1170.5  1843.6  7033.7 100205.0   100000  1715110659893  1715110665210
read      378.1   229.7   148.8   203.5   218.2   322.0   387.2   430.0   467.9   522.3   598.8   736.4  1152.5  1830.5  7076.1 105189.6   105000  1715110666713  1715110672027
read      415.4   294.2   148.8   208.7   225.4   337.2   409.7   463.6   511.3   576.5   674.9   888.7  1492.1  2709.0  7634.6 109887.2   110000  1715110673531  1715110678840
read      570.0   729.7   148.8   221.0   236.1   317.9   436.7   611.3   748.7   942.2  1192.0  1677.6  3150.1  6876.4 25661.9 113148.5   115000  1715110680345  1715110685661
read      588.8   823.7   148.8   224.4   239.9   311.9   366.4   547.8   726.6   995.9  1332.7  1836.4  3698.1  7362.6 28963.5 111486.2   120000  1715110687164  1715110692483
read      576.9   886.2   148.8   221.2   234.9   299.4   344.4   473.7   663.5   932.8  1288.2  1854.8  3913.4  8129.9 30988.5 114493.2   125000  1715110693987  1715110699294
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 88.01%,60.10%,100.00%
