#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      416.4   428.7   173.5   264.6   287.4   389.4   421.5   437.4   451.4   465.5   486.2   517.0   785.2  7108.2 15978.9   4966.8     5000  1715153991106  1715153996476
read      435.0   328.1   173.5   246.7   267.2   431.5   479.5   502.3   518.4   536.4   557.9   591.9   687.1  5218.1 15095.7   9948.9    10000  1715153997980  1715154003326
read      436.2   284.7   160.7   235.4   253.9   437.1   505.8   536.0   555.7   578.3   604.4   639.1   724.0  3838.6 10670.9  14981.0    15000  1715154004830  1715154010139
read      432.9   316.5   160.7   226.9   244.9   413.1   513.7   551.7   575.8   600.8   629.4   670.7   747.8  2722.7 12853.7  20129.8    20000  1715154011643  1715154016959
read      419.3   380.3   160.7   220.0   235.9   371.0   493.4   542.2   571.1   600.2   631.5   676.5   770.7  3173.5 13795.8  24890.2    25000  1715154018462  1715154023776
read      414.7   260.0   160.7   218.1   233.1   362.2   485.9   543.6   577.1   610.5   645.2   691.7   794.5  1688.4  9504.8  29940.4    30000  1715154025280  1715154030579
read      415.1   246.3   160.7   218.0   233.6   362.2   477.1   541.1   579.0   616.6   656.5   707.6   808.3  1243.5 11487.5  35064.6    35000  1715154032082  1715154037379
read      405.6   213.2   160.7   214.8   230.2   353.3   455.1   522.7   564.9   606.4   648.4   699.5   805.1  1458.6  7925.3  39932.0    40000  1715154038882  1715154044185
read      403.6   224.1   148.8   216.9   232.5   353.4   445.0   510.5   555.9   601.6   649.1   705.4   804.6  1111.2  9620.0  45000.8    45000  1715154045688  1715154050984
read      410.9   213.9   160.7   217.6   233.9   369.3   458.0   513.5   554.5   599.4   647.7   707.9   827.2  1174.2  8135.8  50056.2    50000  1715154052488  1715154057781
read      407.8   219.8   160.7   218.6   234.4   365.3   450.7   504.8   545.4   590.7   640.8   706.8   839.0  1854.7  9096.6  55030.6    55000  1715154059285  1715154064568
read      397.2   201.7   160.7   217.4   232.2   357.6   438.9   489.0   526.3   570.1   622.1   687.1   809.8  1298.5  7836.6  60043.8    60000  1715154066072  1715154071374
read      396.0   235.8   160.7   216.5   231.1   352.4   432.8   483.5   521.3   565.2   618.5   690.9   860.1  1645.2  7728.8  64891.0    65000  1715154072878  1715154078173
read      397.3   201.4   148.8   216.9   232.2   359.1   438.2   485.2   519.4   560.3   613.6   689.5   860.4  1263.7  7203.9  69954.0    70000  1715154079676  1715154084973
read      395.6   200.5   160.7   218.6   233.6   358.8   433.5   478.1   510.4   550.3   603.2   680.7   850.8  1737.1  7672.9  75199.0    75000  1715154086477  1715154091770
read      380.3   199.9   160.7   217.1   231.4   344.0   413.2   456.0   488.3   527.1   576.6   648.3   798.9  1340.0  8251.7  79776.6    80000  1715154093274  1715154098581
read      391.2   183.2   160.7   219.1   234.6   360.2   430.0   469.7   500.3   537.1   584.9   662.9   841.3  1465.3  5503.0  85010.9    85000  1715154100085  1715154105379
read      381.3   195.9   160.7   219.0   233.7   350.2   415.8   454.8   483.5   518.3   565.4   638.3   802.1  1277.3  7840.4  89912.0    90000  1715154106883  1715154112169
read      371.0   167.0   160.7   217.7   232.3   344.3   403.4   439.5   466.7   499.9   543.1   612.6   751.5  1054.3  5457.5  95188.2    95000  1715154113673  1715154118968
read      414.2   200.9   160.7   227.3   248.3   386.2   452.3   491.4   521.1   558.1   610.6   694.0   869.7  1182.0  8144.9  99822.3   100000  1715154120471  1715154125759
read      412.1   217.7   160.7   227.6   248.2   382.3   447.1   487.0   517.3   555.8   610.5   694.7   866.5  1214.0  8201.8 105037.4   105000  1715154127263  1715154132560
read      495.8   266.4   160.7   240.4   269.6   443.4   531.7   592.3   646.5   719.8   808.9   924.7  1109.2  1470.5  9548.9 106686.2   110000  1715154134064  1715154139364
read      546.4   252.7   160.7   290.1   326.1   508.1   607.2   664.2   705.2   752.5   812.9   903.9  1074.1  1394.8  9827.7 111521.8   115000  1715154140868  1715154146160
read      464.5   216.4   160.7   257.6   286.1   438.8   511.3   552.9   584.4   621.5   669.7   743.4   895.1  1227.9  8851.0 118963.8   120000  1715154147664  1715154152963
read      592.4   265.4   160.7   325.4   358.4   546.2   681.0   744.2   784.9   828.6   877.3   948.7  1089.7  1473.2  9711.6 108829.7   125000  1715154154467  1715154159762
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.08%,32.32%,100.00%
