#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      349.7   446.3   160.7   215.9   239.3   316.5   343.7   360.3   371.4   387.4   406.2   445.9   734.3  7130.4 15915.2   4945.4     5000  1715259758213  1715259763661
read      367.1   350.4   148.8   200.3   216.1   352.0   400.3   424.9   441.4   460.5   484.2   520.7   628.3  4926.7 15378.4   9919.5    10000  1715259765167  1715259770582
read      375.9   226.7   148.8   198.0   214.1   358.4   426.6   460.2   483.2   508.4   540.3   585.7   682.3  1976.3  9370.8  15047.4    15000  1715259772087  1715259777431
read      403.6   287.2   148.8   197.6   215.0   379.7   451.2   492.3   522.2   556.5   599.5   660.4   825.2  1919.1 12367.1  20028.8    20000  1715259778935  1715259784260
read      417.4   287.3   148.8   197.5   214.9   392.1   464.9   507.5   540.8   582.3   630.6   706.3   891.0  1870.0 12572.9  25017.4    25000  1715259785764  1715259791091
read      429.6   282.7   148.8   199.8   217.9   402.8   480.2   524.5   559.1   602.7   658.6   761.8   951.5  1862.9 12934.1  29894.0    30000  1715259792596  1715259797933
read      444.9   273.7   148.8   207.8   226.8   416.9   498.3   542.2   578.4   624.7   687.5   800.5  1015.0  1692.0 12004.8  35044.8    35000  1715259799437  1715259804754
read      433.3   273.6   148.8   197.8   215.4   397.1   485.2   538.0   578.9   627.7   688.0   796.4  1000.3  1527.3 10665.2  39990.0    40000  1715259806258  1715259811573
read      441.8   269.9   137.8   196.8   215.6   406.7   497.8   547.9   587.7   637.2   705.4   817.0  1039.8  1459.3 10029.0  45078.9    45000  1715259813077  1715259818378
read      448.3   296.7   137.8   198.8   218.2   411.0   503.2   556.6   597.2   644.7   714.6   825.3  1050.8  1517.3 13140.4  50088.4    50000  1715259819881  1715259825183
read      449.0   257.7   148.8   206.1   226.8   410.6   501.8   554.9   596.0   644.8   716.8   828.7  1014.9  1472.7  9230.4  54981.2    55000  1715259826687  1715259831985
read      441.4   273.3   137.8   205.1   225.2   400.3   492.1   544.5   584.4   632.5   698.1   808.9  1004.9  1604.8 11075.9  59982.2    60000  1715259833489  1715259838792
read      449.5   259.9   148.8   208.8   230.7   414.4   502.9   553.3   592.1   639.5   706.9   814.4  1002.2  1431.1  9951.1  64746.0    65000  1715259840296  1715259845606
read      448.8   269.4   148.8   209.3   232.7   408.3   494.9   546.1   587.4   637.4   707.5   817.4  1030.5  1532.8 10002.9  69831.6    70000  1715259847110  1715259852412
read      476.8   302.2   148.8   218.5   247.6   437.0   527.0   579.8   620.4   671.8   745.6   854.0  1083.9  1488.3 11921.0  74945.0    75000  1715259853916  1715259859215
read      497.1   317.0   148.8   228.7   262.8   454.9   545.0   600.9   644.5   701.8   781.6   894.0  1096.6  1780.4 12665.4  79758.8    80000  1715259860719  1715259866027
read      788.1   418.1   160.7   503.4   535.8   648.2   738.5  1051.6  1127.3  1181.3  1234.9  1295.2  1430.1  4242.1 15792.5  81097.4    85000  1715259867531  1715259872842
read      817.6   400.7   160.7   530.8   561.6   677.3   755.9  1077.8  1164.8  1226.1  1281.0  1359.5  1490.8  4071.6 14321.0  80000.8    90000  1715259874346  1715259879653
read      802.3   401.8   148.8   495.3   527.8   675.1   790.2  1035.3  1113.9  1181.6  1258.7  1354.4  1492.5  3935.7 14650.8  81424.0    95000  1715259881157  1715259886465
read      720.3   363.3   160.7   435.2   462.1   592.8   857.0   959.8  1005.6  1051.0  1096.3  1166.9  1279.6  2165.0 13736.8  89806.8   100000  1715259887969  1715259893294
read      789.8   387.4   148.8   502.2   529.5   652.7   763.7  1053.0  1120.9  1173.5  1232.9  1306.2  1452.9  2644.8 13830.5  82984.4   105000  1715259894797  1715259900108
read      781.9   407.6   160.7   497.4   525.2   642.6   750.4  1042.4  1108.0  1158.5  1215.8  1283.0  1437.9  2759.0 17385.8  84000.6   110000  1715259901612  1715259906925
read      736.5   360.7   160.7   461.9   488.6   608.5   734.2   983.1  1040.3  1088.4  1144.8  1218.0  1360.2  2539.8 13440.0  88810.7   115000  1715259908429  1715259913738
read      769.9   402.0   173.5   479.1   510.8   636.0   781.8  1023.0  1079.8  1134.1  1186.9  1268.1  1417.4  2868.6 15468.4  85280.0   120000  1715259915241  1715259920555
read      862.7   438.5   173.5   568.2   600.9   718.2   790.2  1132.9  1235.6  1301.4  1356.5  1432.9  1568.2  4335.9 15851.2  76343.4   125000  1715259922060  1715259927374
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.41%,68.84%,100.00%
