#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      440.7   480.6   187.4   263.7   287.6   405.0   446.1   466.6   482.5   500.7   524.2   556.8  1428.9  8618.6 13780.3   4980.0     5000  1715151276772  1715151282241
read      448.9   292.5   173.5   237.8   256.5   442.4   507.2   538.9   560.5   584.8   616.2   663.6   786.4  3900.3 10902.9  10076.6    10000  1715151283744  1715151289099
read      465.4   315.2   160.7   235.0   254.1   446.1   538.7   582.6   612.1   643.5   685.7   740.1   865.4  3465.2 11903.6  14876.4    15000  1715151290603  1715151295904
read      481.0   286.8   160.7   230.7   251.8   448.5   559.9   616.2   654.8   697.0   744.2   807.4   947.4  2574.9 10261.5  19938.0    20000  1715151297409  1715151302742
read      483.9   278.9   160.7   228.6   250.5   448.7   555.2   616.2   659.7   707.6   759.5   833.8   984.0  1723.7 11182.9  25009.2    25000  1715151304246  1715151309564
read      491.5   263.6   160.7   228.9   251.8   455.8   557.4   618.8   664.6   715.6   773.8   856.8  1027.4  1880.3  8840.9  29856.2    30000  1715151311068  1715151316379
read      495.9   289.8   160.7   227.9   250.7   461.9   558.1   617.2   663.1   717.5   782.1   870.8  1053.6  1950.5  9542.3  34971.8    35000  1715151317883  1715151323198
read      506.8   304.8   160.7   227.9   250.2   474.3   577.1   636.8   683.6   735.3   797.8   890.1  1079.2  2262.4 13434.8  39973.2    40000  1715151324701  1715151329990
read      493.1   253.1   160.7   227.0   248.5   461.9   562.6   622.3   666.9   717.9   779.2   867.6  1053.0  1501.1  7906.8  44955.4    45000  1715151331494  1715151336783
read      500.1   770.2   160.7   226.4   248.1   457.4   565.1   626.6   674.0   729.6   797.4   903.2  1099.9  1601.0  9752.2  49912.2    50000  1715151338287  1715151343590
read      501.6   289.0   160.7   229.3   252.8   460.1   565.4   627.9   675.5   731.5   800.6   907.4  1110.1  1672.1 10406.2  55012.3    55000  1715151345094  1715151350382
read      495.4   287.7   160.7   227.3   250.4   452.7   555.8   618.3   665.5   723.0   793.1   897.5  1100.9  1531.4 10157.0  60022.8    60000  1715151351885  1715151357173
read      487.5   266.6   160.7   227.0   250.6   446.1   545.6   606.7   653.6   709.7   777.8   873.9  1076.2  1437.5  8593.1  64900.2    65000  1715151358677  1715151363973
read      509.3   300.5   160.7   235.6   264.3   465.3   569.0   631.0   678.2   733.2   799.5   904.9  1112.7  1666.7 12205.1  69829.4    70000  1715151365477  1715151370775
read      899.3   481.3   173.5   580.7   613.6   743.1   835.3  1193.5  1288.5  1348.7  1413.9  1487.3  1625.5  5600.4 18985.5  71759.6    75000  1715151372278  1715151377574
read      894.1   450.3   160.7   565.6   604.6   749.8   845.5  1133.9  1255.5  1338.9  1417.8  1500.4  1662.8  4028.0 15591.1  72792.0    80000  1715151379077  1715151384371
read      869.7   451.5   173.5   557.4   593.1   725.9   808.1  1130.0  1228.7  1300.3  1366.3  1454.9  1595.1  4486.2 15814.6  75292.5    85000  1715151385875  1715151391170
read      866.1   446.5   202.4   566.0   599.5   716.5   796.3  1143.5  1239.7  1306.0  1362.2  1440.9  1578.0  4094.1 17017.9  75957.5    90000  1715151392674  1715151397974
read      906.6   431.8   202.4   599.7   628.7   751.4   836.1  1195.6  1302.8  1367.2  1433.5  1504.9  1658.4  3941.5 14732.7  72551.2    95000  1715151399478  1715151404784
read      910.7   471.8   202.4   604.9   636.8   752.4   828.1  1202.4  1310.9  1376.8  1439.4  1507.0  1629.8  4319.9 18534.0  72417.8   100000  1715151406288  1715151411590
read      798.7   427.5   160.7   493.8   524.6   657.6   841.4  1061.8  1124.5  1177.1  1238.1  1317.4  1467.3  3777.8 16818.6  82203.0   105000  1715151413094  1715151418386
read      902.0   452.4   160.7   594.0   623.2   748.0   828.9  1171.3  1292.1  1358.8  1426.7  1495.4  1645.6  4271.5 16010.8  73068.0   110000  1715151419890  1715151425182
read      905.0   481.9   173.5   599.8   629.1   748.9   828.8  1176.4  1294.2  1362.2  1431.3  1505.8  1658.8  4765.1 18774.7  72865.6   115000  1715151426687  1715151431986
read      932.2   536.5   187.4   591.2   625.7   789.4   871.1  1128.8  1279.1  1384.1  1483.0  1589.0  1741.2  5367.5 21139.3  71010.4   120000  1715151433490  1715151438785
read      894.0   500.0   187.4   592.5   616.0   733.9   814.7  1194.4  1281.9  1338.9  1398.7  1475.6  1615.9  4425.2 20659.0  73809.6   125000  1715151440288  1715151445574
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.06%,48.74%,100.00%
