#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      379.0   411.4   173.5   231.6   253.3   351.5   386.8   405.0   419.2   433.4   454.1   483.8   647.6  7131.5 13705.0   4945.0     5000  1715115309677  1715115315079
read      401.3   253.7   160.7   223.9   239.8   390.8   452.4   481.4   500.2   521.1   544.3   581.9   681.8  3029.8  7994.3   9921.6    10000  1715115316586  1715115321956
read      430.5   217.4   160.7   219.7   236.5   411.9   497.5   537.7   564.1   592.6   633.3   693.4   886.9  1623.5  8312.0  14938.4    15000  1715115323460  1715115328767
read      451.4   268.6   160.7   215.7   232.1   400.5   497.9   549.6   588.3   637.2   712.3   892.3  1181.2  1495.3  9820.7  19969.2    20000  1715115330270  1715115335584
read      478.6   313.8   160.7   215.4   232.0   405.9   508.6   570.3   621.0   685.9   802.8  1089.5  1379.5  2030.5  9814.2  24933.8    25000  1715115337088  1715115342396
read      488.0   359.8   160.7   214.4   230.3   400.1   509.6   574.3   624.0   690.8   823.0  1222.2  1528.0  1871.6 11968.9  29897.0    30000  1715115343900  1715115349217
read      467.3   336.5   148.8   207.7   222.6   370.8   476.6   544.4   596.2   668.0   790.4  1216.6  1567.2  1993.6  9709.4  34883.0    35000  1715115350721  1715115356031
read      484.1   406.9   148.8   210.3   225.3   369.4   477.0   548.5   600.4   672.4   796.5  1361.0  1844.2  2467.3 12281.6  39932.5    40000  1715115357534  1715115362843
read      485.2   416.7   160.7   210.3   224.8   352.4   457.4   531.5   587.5   669.8   842.1  1437.5  1980.2  2547.9 10678.8  44961.6    45000  1715115364347  1715115369640
read      492.6   448.7   148.8   211.7   227.3   354.5   455.5   526.6   582.7   660.2   819.9  1482.9  2204.7  2925.8 11015.6  50140.6    50000  1715115371144  1715115376440
read      462.8   424.8   160.7   207.2   221.1   326.3   411.0   477.4   535.8   616.3   776.1  1425.0  2137.3  2928.2  8626.0  55008.8    55000  1715115377944  1715115383247
read      495.9   481.8   148.8   214.4   230.3   346.7   431.5   496.8   550.4   634.1   852.5  1530.1  2450.7  3462.4 10426.0  59890.6    60000  1715115384751  1715115390047
read      545.5   552.8   160.7   223.7   243.9   385.9   480.2   549.5   616.9   728.2  1009.5  1638.1  2609.3  3841.2 15494.0  64913.2    65000  1715115391551  1715115396847
read      537.5   460.9   160.7   226.5   247.9   395.8   518.7   601.4   673.8   776.7   962.4  1377.6  2261.2  3376.4 11873.2  69939.8    70000  1715115398350  1715115403649
read      920.7   628.6   160.7   228.4   253.6   875.2  1069.7  1187.6  1286.4  1406.6  1572.0  1826.6  2482.6  4275.6 20424.6  70469.0    75000  1715115405153  1715115410450
read      875.5   549.7   148.8   237.9   276.4   826.2  1012.4  1122.9  1215.0  1330.6  1481.7  1711.0  2236.2  3920.0 15747.1  74153.0    80000  1715115411954  1715115417257
read      893.4   497.4   148.8   224.9   252.4   871.5  1041.9  1137.2  1221.3  1325.7  1466.9  1688.9  2184.3  3407.9 11925.8  72826.0    85000  1715115418760  1715115424063
read      949.6   624.1   160.7   224.9   245.6   911.1  1130.4  1268.9  1373.9  1507.5  1671.6  1922.1  2584.0  4185.7 16059.4  68898.2    90000  1715115425567  1715115430896
read      953.9   645.8   160.7   230.6   255.4   888.8  1124.9  1273.4  1384.1  1527.1  1697.1  1965.3  2706.1  4234.4 16996.8  68602.9    95000  1715115432400  1715115437701
read      901.8   587.4   160.7   232.4   263.4   851.7  1052.8  1168.6  1268.2  1384.9  1540.4  1770.1  2330.2  3992.9 17534.1  72463.6   100000  1715115439204  1715115444501
read      881.3   524.5   148.8   227.8   258.1   840.6  1019.3  1120.3  1215.0  1332.8  1482.9  1708.1  2314.0  3626.0 14540.3  73986.0   105000  1715115446005  1715115451304
read      867.3   488.5   148.8   230.0   272.8   844.0   992.6  1081.8  1157.1  1260.2  1385.7  1592.7  2036.6  3217.9 15659.9  75242.4   110000  1715115452808  1715115458098
read      917.4   575.5   148.8   235.3   268.1   865.8  1059.5  1176.7  1281.0  1401.9  1557.6  1797.1  2434.1  4379.9 15110.3  71248.8   115000  1715115459602  1715115464899
read      926.2   609.3   160.7   227.1   251.7   889.0  1086.3  1210.9  1310.0  1432.4  1587.6  1827.1  2373.1  4199.6 17783.1  70692.6   120000  1715115466403  1715115471693
read      918.8   605.2   148.8   227.9   252.6   866.1  1081.7  1207.0  1307.8  1436.2  1597.0  1843.6  2482.3  4100.9 16740.5  71161.4   125000  1715115473196  1715115478522
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.31%,49.25%,100.00%
