Random waveform, random seed
Total number of intervals = 100 (60475, 95752, 74782, 96292, 38451, 74862, 14736, 45701, 33851, 11745, 43964, 11271, 53028, 55784, 25329, 41180, 67407, 40175, 81511, 41452, 79739, 91585, 60903, 73786, 87492, 58455, 73748, 8493, 94056, 67774, 33412, 37474, 8180, 68192, 19793, 8009, 41794, 21891, 27127, 56228, 65038, 30336, 17023, 10656, 63904, 60997, 37240, 56324, 63602, 32028, 63870, 56139, 5438, 67898, 21819, 59534, 53228, 96041, 82310, 71632, 81127, 53049, 34681, 82874, 64464, 67899, 47127, 61449, 32588, 59548, 12547, 23642, 6126, 37801, 85268, 7574, 52751, 54184, 22095, 32601, 91511, 47747, 35390, 25111, 94964, 41829, 42765, 7198, 91609, 86157, 35043, 84652, 7624, 27397, 31030, 93807, 64542, 58215, 28523, 54908)
Average QPS expected = 50103
Timestamp start: 1715327529542
Timestamp end: 1715328530079

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      360.8   188.8   148.8   200.5   214.0   328.1   396.1   437.3   469.6   510.1   559.3   625.7   737.0  1003.7  7550.5  60481.8    60475
read      363.4   195.4   148.8   205.7   221.1   335.3   396.1   432.5   460.8   495.4   540.4   610.0   750.9  1183.9  6959.6  95852.0    95752
read      423.0   412.9   148.8   204.5   219.9   344.6   418.0   465.3   504.0   553.3   625.4   792.8  1870.8  4350.7 10861.8  74835.8    74782
read      425.0   352.7   148.8   213.1   231.4   365.8   435.5   479.7   514.0   558.6   622.0   744.6  1674.6  2973.9 12470.5  96310.0    96292
read      413.0   368.1   148.8   204.3   219.1   353.2   439.8   493.9   532.8   577.7   634.1   734.9  1342.4  3634.5 15809.8  38437.9    38451
read      381.8   228.8   148.8   204.7   219.6   341.4   413.9   458.1   491.8   532.9   586.1   670.7   903.0  2077.9  8230.9  74925.0    74862
read      483.2   699.3   148.8   206.0   222.6   390.4   467.5   514.7   555.5   611.8   684.4   858.4  2268.2  8859.0 35196.0  14726.6    14736
read      517.8   609.6   148.8   204.6   220.6   354.7   462.5   550.4   630.8   777.1  1035.0  1357.8  2389.8  5818.4 22215.5  45728.8    45701
read      512.4   490.1   148.8   203.6   219.2   362.2   496.9   592.2   685.7   833.4   993.7  1215.5  2325.3  4062.4 12519.3  33973.1    33851
read      377.6   421.6   160.7   209.7   225.3   359.1   406.3   429.5   445.1   462.0   484.1   519.3   713.9  5451.2 19123.2  11808.2    11745
read      377.0   228.6   148.8   201.9   215.2   336.6   413.8   462.7   499.9   541.5   590.4   661.4   806.9  1732.9  7970.4  44078.8    43964
read      372.1   430.0   160.7   212.7   228.2   356.4   401.7   423.9   438.1   455.9   475.0   507.4   609.0  4291.5 20059.8  11287.2    11271
read      373.8   199.6   148.8   202.7   216.1   336.2   409.3   455.8   492.0   534.7   585.2   656.8   802.0  1378.2  7920.3  53075.0    53028
read      470.8   524.4   148.8   207.6   223.5   360.0   444.1   502.9   551.5   619.6   730.8  1161.3  2129.2  4887.5 18138.0  55778.2    55784
read      497.6   516.6   160.7   205.1   219.8   369.7   486.8   555.2   616.9   725.9   876.5  1102.8  2601.1  4123.3 15567.0  25167.0    25329
read      492.6   500.9   148.8   206.2   221.5   356.9   454.9   530.4   593.6   690.0   931.3  1295.3  2200.0  4534.4 14752.3  41241.6    41180
read      463.9   497.7   148.8   209.1   225.7   361.2   441.2   495.9   540.5   600.1   695.3  1048.7  2212.4  4967.6 14261.1  67602.0    67407
read      498.9   540.1   148.8   205.9   221.4   357.7   458.8   536.5   603.9   710.9   961.7  1301.6  2298.3  4652.0 15030.1  40187.9    40175
