Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1715347866985
Timestamp end: 1715348767616

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      379.7   454.9   173.5   229.3   246.7   352.7   383.8   399.3   411.1   425.3   441.9   470.5   636.1  9069.7 15436.8   7383.0     7434
read      388.0   279.8   160.7   218.8   231.1   347.7   417.3   459.1   491.9   532.2   582.8   656.0   845.5  2517.8 14039.4  66984.0    67201
read      398.9   258.5   160.7   223.8   239.3   364.0   430.6   469.6   500.4   537.5   586.1   663.6   870.1  2099.7  9901.8  86048.4    85927
read      394.4   221.2   173.5   219.7   232.9   359.2   431.5   473.8   507.8   548.5   600.7   674.8   821.6  1725.7  7975.3  63980.2    63953
read      406.7   387.7   173.5   215.3   228.0   353.5   443.0   496.0   531.8   569.9   614.9   683.8  1078.4  4095.5 12238.6  31663.2    31595
read      657.7   423.6   173.5   275.4   327.4   575.0   694.3   831.7   925.1  1009.5  1089.0  1187.1  1388.3  4984.3 12243.2  87686.2    87879
read      369.0   379.7   173.5   229.6   247.8   352.0   383.1   398.9   410.5   424.6   440.5   469.6   590.6  4376.2 13832.4   7355.6     7287
read      378.2   198.3   160.7   217.5   229.6   341.3   410.9   453.1   486.2   528.5   580.9   647.2   776.9  1493.7  8536.9  62225.6    62295
read      397.9   877.9   187.4   230.0   250.2   350.1   379.9   396.1   407.3   423.1   440.8   473.2  1091.6  7888.8 32467.2   6615.2     6561
read      513.9   758.3   173.5   215.3   229.4   429.9   545.3   618.2   676.9   741.5   816.7   928.5  1271.7 14399.2 29660.5  22482.6    22532
read      406.2   304.5   160.7   218.2   230.9   353.9   426.8   470.5   507.6   554.0   614.1   696.4  1357.9  3457.8  8843.4  60640.2    60653
