Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715421273166
Timestamp end: 1715422173736

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      346.3   392.5   148.8   214.5   229.9   322.9   354.0   370.8   383.2   396.7   415.1   444.6   722.7  5528.3 15236.9   7429.6     7434
read      417.9   358.5   148.8   205.6   220.9   356.9   435.2   483.9   520.4   565.7   627.6   740.9  1664.3  3692.7 10653.9  67313.9    67201
read      518.0   406.4   148.8   220.3   242.5   444.5   554.5   622.7   676.7   748.0   870.7  1089.8  1470.3  3606.0 15189.9  86027.6    85927
read      387.9   230.0   148.8   206.9   221.8   350.8   423.0   466.2   499.1   538.6   590.1   674.1   872.0  2562.7  7835.9  64060.1    63953
read      384.2   207.6   148.8   207.7   222.7   347.1   428.4   473.4   504.6   538.8   581.2   642.6   844.7  1919.3  5513.6  31564.4    31595
read      400.5   305.0   148.8   210.5   227.1   359.2   432.3   476.5   509.3   549.0   603.4   689.6   942.8  2562.3 12234.0  87954.2    87879
read      345.8   408.9   160.7   211.2   227.4   322.9   356.4   373.8   387.2   400.9   421.8   454.9   616.8  5068.6 15737.0   7327.3     7287
read      401.5   274.6   148.8   203.6   218.7   355.1   434.4   482.1   517.8   561.4   619.7   713.7  1097.6  2581.3  8852.1  62277.2    62295
read      345.8   426.9   160.7   215.8   232.6   318.6   347.1   364.1   374.7   390.0   406.2   437.2   679.0  7048.8 15251.7   6535.2     6561
read      376.6   297.3   148.8   207.3   221.2   343.2   423.6   460.7   485.0   510.7   543.8   593.1   739.0  3406.9 11720.8  22538.0    22532
read      379.7   187.4   148.8   205.7   220.1   348.5   420.5   462.9   494.6   532.0   581.0   657.4   818.1  1326.7  7050.1  60741.9    60653
read      383.7   194.1   148.8   205.8   220.5   350.2   424.4   467.9   500.7   539.5   589.3   669.1   846.7  1354.3  7403.7  59087.0    59076
read      388.0   212.2   148.8   206.9   221.9   355.7   429.7   472.3   504.7   543.3   593.5   675.8   848.0  1354.2  8050.4  60209.2    60154
read      384.6   278.3   148.8   205.7   219.5   347.2   429.0   469.8   498.1   529.8   568.7   629.4   917.1  3131.1 12017.1  23091.0    22964
read      356.6   431.9   160.7   212.0   227.6   334.1   372.4   392.3   404.9   422.6   442.7   476.3   677.6  4516.7 19401.4   8162.5     8172
read      386.0   241.5   148.8   203.7   217.8   347.8   429.6   473.4   504.6   540.8   585.9   654.1   913.5  2202.0  9438.0  27710.9    27652
read      395.4   231.6   148.8   204.9   219.6   357.0   435.2   481.0   514.9   556.0   609.9   688.4   982.9  2003.3  8316.0  37642.3    37594
read      383.8   247.6   148.8   203.9   217.7   346.9   429.1   471.2   500.9   534.4   576.1   637.3   904.1  2533.4  8054.5  24387.3    24367
read      393.1   288.1   148.8   204.6   219.1   353.3   432.8   478.3   511.1   549.2   599.7   674.7   940.3  2256.9 10324.0  33740.3    33771
read      407.2   242.0   148.8   211.9   229.2   367.9   445.5   492.1   526.8   568.7   623.6   710.4   929.6  2446.2  7135.6  84895.0    84944
read      408.1   250.6   148.8   211.2   228.6   368.4   446.7   493.5   528.2   570.2   624.9   712.2   946.1  2003.0  9025.0  85661.8    85666
read      403.0   240.0   148.8   203.7   219.0   361.5   441.8   489.4   524.8   567.9   624.4   711.9  1031.4  2532.5  8104.9  52023.2    51918
read      385.2   212.8   148.8   203.4   217.8   351.0   428.2   471.2   503.5   541.8   589.6   662.2   843.1  2063.0  7715.1  34439.4    34406
read      443.7   499.2   148.8   204.7   219.7   361.3   451.7   504.3   545.3   601.5   700.3   965.7  1414.6  5874.1 22429.5  28667.9    28664
read      416.4   489.2   148.8   202.8   217.4   351.0   428.8   474.6   509.2   553.1   615.2   735.0  1453.1  6322.8 18799.1  38253.9    38289
read      408.3   343.4   148.8   204.4   218.8   356.4   439.8   480.1   507.7   546.0   611.6   777.7  1150.9  3880.3 10877.4  20671.1    20658
read      438.2   713.0   160.7   205.8   220.4   378.1   446.6   484.7   515.7   562.9   632.3   737.2  1228.2  9779.8 35899.1  13773.8    13840
read      442.9   423.6   148.8   218.9   239.0   390.1   471.7   521.4   558.6   605.4   669.8   777.9  1069.6  5404.2 13769.4  93436.6    93419
read      513.2   348.7   148.8   232.8   262.8   454.2   551.0   619.2   675.7   746.6   838.0   960.2  1204.1  3402.8 12617.8  98149.2    98284
read      397.8   231.9   148.8   206.7   222.2   358.1   437.6   483.6   517.7   558.9   613.9   698.8   917.8  2324.2  7299.1  71398.5    71313
read      433.4   357.3   148.8   205.3   220.6   362.8   446.3   498.5   539.3   590.8   667.6   898.9  1520.4  3442.8 10773.2  42097.2    42089
read      453.6   383.4   148.8   206.8   222.5   369.1   456.0   510.4   554.5   614.9   709.7  1055.0  1737.4  3784.5  9886.9  46338.6    46458
read      476.1   398.2   148.8   205.3   221.0   370.5   477.5   548.0   609.8   716.0   923.7  1142.1  1466.0  4053.0 10399.1  30752.9    30755
read      473.6   420.2   148.8   205.2   221.3   366.7   460.3   524.3   579.0   656.1   835.2  1227.7  1735.8  4011.6 10995.7  42850.8    42889
read      426.0   277.4   148.8   217.1   236.5   383.1   462.5   509.6   545.9   590.6   651.7   748.8  1005.5  2563.4  9702.7  93399.4    93552
read      402.0   276.4   148.8   209.4   225.2   360.9   440.5   487.1   521.1   562.0   616.2   700.5   931.0  2346.4  9845.7  65769.4    65694
read      436.3   327.4   148.8   206.7   222.2   362.3   455.6   510.1   552.6   607.8   706.0   971.8  1357.0  3246.5  9544.0  29534.7    29574
read      450.1   417.1   148.8   209.1   225.2   367.3   452.1   505.9   547.9   603.5   687.0   975.8  1729.6  4191.5 10593.7  51338.5    51355
read      401.6   274.4   160.7   210.5   225.6   359.2   437.0   483.6   518.0   559.4   614.5   699.2   958.7  2262.1  8991.4  67421.2    67361
