Random waveform, supplied seed
Total number of intervals = 450 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319, 77808, 44423, 25669, 66463)
Average QPS expected = 50157
Timestamp start: 1715429695661
Timestamp end: 1715430596509

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      397.3   781.3   173.5   223.4   241.4   350.9   385.1   400.7   413.7   428.9   451.0   493.7  1305.7 12031.3 35871.1   7349.0     7434
read      383.8   267.2   160.7   204.8   217.4   335.6   402.4   443.9   478.8   524.8   583.5   668.1  1276.8  3114.1  5509.4  66932.0    67201
read      366.8   293.0   160.7   205.7   218.7   325.8   389.2   426.8   456.7   493.6   541.2   617.4   819.7  3530.0  7914.5  86179.0    85927
read      372.3   212.8   160.7   204.3   216.4   334.0   398.3   437.7   472.5   518.9   577.8   658.9   884.3  1784.8  7866.9  64030.5    63953
read      390.7   234.0   160.7   203.5   217.2   336.4   431.9   492.3   531.5   572.0   618.0   679.4  1027.8  2034.1  9261.8  31590.0    31595
read      385.1   285.8   160.7   208.1   222.4   340.9   407.9   448.9   480.8   520.6   574.7   662.2  1087.1  3124.2  6642.3  87988.0    87879
read      361.3   342.3   160.7   215.4   231.3   334.7   369.4   387.2   398.3   413.2   432.7   467.4  1205.4  4075.7 13435.0   7487.5     7287
read      380.3   227.1   160.7   204.3   216.9   335.9   401.7   443.8   479.5   525.7   585.7   673.2  1190.7  2269.5  8077.6  62043.0    62295
read      363.7   451.7   173.5   219.1   237.6   333.9   365.7   383.1   394.7   407.7   429.5   466.9   835.7  6378.8 16135.9   6672.0     6561
read      395.7   229.7   160.7   207.6   222.0   354.6   453.7   500.1   528.6   558.5   592.9   656.4   964.3  2092.9  9136.8  22608.0    22532
read      431.3   281.4   160.7   216.4   231.4   380.5   468.3   521.7   561.6   612.8   678.8   783.2  1154.8  2498.1 11594.9  60276.5    60653
read      420.7   439.3   160.7   210.9   225.4   362.4   441.2   493.1   532.0   578.1   636.9   731.1  1233.1  5097.4 15265.9  59166.5    59076
read      379.1   192.7   160.7   207.7   221.6   345.1   415.3   457.6   491.8   534.3   585.5   656.2   783.2  1805.3  8310.7  59731.5    60154
read      381.8   281.1   160.7   206.7   220.4   343.1   437.8   481.5   508.2   535.2   565.9   609.1   724.0  2387.3 12421.1  22756.5    22964
read      376.4   420.7   173.5   220.8   236.2   355.2   390.4   405.7   418.8   431.9   452.0   482.5   690.6  7656.6 15498.8   8200.5     8172
read      377.3   181.9   160.7   206.0   219.8   337.6   430.8   482.5   514.0   544.6   579.3   627.5   727.3  1217.6  6396.5  27701.0    27652
read      377.2   196.1   160.7   203.9   217.6   331.8   415.4   471.0   512.4   554.2   599.7   660.0   761.6  1410.4  7599.3  37387.0    37594
read      386.9   267.1   160.7   206.5   220.3   341.1   440.2   488.9   518.4   547.4   582.6   635.4   825.7  3889.0  9894.1  24450.0    24367
read      409.2   402.7   148.8   203.9   218.4   341.4   430.9   492.5   533.1   576.4   627.7   710.9  1234.3  5288.5 15591.4  33449.0    33771
read      391.6   350.0   160.7   207.0   221.4   341.6   408.1   449.1   480.3   518.7   571.9   666.2  1333.9  3653.2 10101.4  84951.5    84944
read      360.7   177.6   160.7   205.1   217.8   325.7   389.5   427.4   457.3   494.0   541.3   615.6   803.7  1876.6  5287.7  86134.0    85666
read      372.7   226.0   160.7   202.8   214.7   332.1   394.8   436.0   474.0   524.5   581.5   655.2   858.6  2314.2  6740.7  52296.0    51918
read      390.3   242.0   160.7   203.3   217.1   337.8   423.7   482.2   522.3   562.6   609.2   675.2  1057.8  2342.9  8600.6  34369.0    34406
read      389.4   241.0   160.7   203.8   218.6   338.9   434.3   490.2   524.7   560.3   600.2   661.5  1000.5  1635.6 11157.9  28567.0    28664
read      407.9   435.3   148.8   206.4   222.0   345.7   427.4   486.4   529.5   574.5   625.3   689.6  1156.5  4729.2 27989.6  38348.0    38289
read      387.0   264.4   160.7   207.9   222.7   352.5   442.0   483.4   508.7   535.4   566.5   614.9   860.3  3589.6 10195.2  20760.5    20658
