Random waveform, random seed
Total number of intervals = 100 (87919, 98717, 31326, 32464, 65342, 98488, 76838, 72106, 65379, 53690, 72655, 72332, 62528, 26810, 39569, 60760, 46265, 19949, 61435, 83890, 38586, 71822, 40100, 57087, 67313, 70270, 91602, 71288, 97845, 8794, 33275, 26003, 69130, 19424, 79818, 93377, 69448, 45219, 8549, 89095, 12766, 99994, 21958, 20035, 93213, 70134, 82780, 88308, 93364, 41436, 91748, 47256, 51883, 11878, 79794, 76836, 47370, 65461, 8291, 37257, 62788, 30777, 19181, 89788, 76642, 11753, 81976, 66768, 31150, 24813, 18460, 33827, 76306, 57503, 25441, 24381, 78566, 45156, 96678, 55952, 94396, 81806, 68068, 25092, 49048, 49621, 87649, 27133, 61905, 8069, 7636, 50818, 56149, 68128, 86120, 74524, 41790, 47485, 92148, 30763)
Average QPS expected = 56345
Timestamp start: 1715030504062
Timestamp end: 1715031504568

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      396.1   482.6   137.8   198.1   211.6   308.4   378.1   428.9   472.7   531.5   614.8   784.9  1579.9  5541.5 20354.2  87839.0    87919
read      434.3   555.7   137.8   202.8   217.6   324.0   399.8   458.2   510.2   586.8   702.9   956.6  1918.8  6451.3 27307.7  98791.6    98717
read      409.7   379.9   148.8   198.8   212.9   356.9   451.5   507.0   545.7   590.7   641.9   727.5  1046.9  3636.3 15987.1  31409.4    31326
read      383.6   318.7   148.8   196.6   210.9   339.8   431.0   483.2   514.9   547.4   589.7   654.6   808.8  3079.9 12694.4  32471.8    32464
read      433.1   582.5   137.8   195.7   209.1   316.1   399.9   462.8   511.2   573.9   661.6   901.0  2430.1  5490.6 27956.6  65481.2    65342
read      565.6  1204.8   148.8   206.3   222.4   332.2   419.1   488.9   554.5   658.3   858.0  1381.3  4627.4 14069.1 35536.8  98625.7    98488
read      515.0   963.9   137.8   197.5   211.6   320.4   401.5   468.1   529.6   617.9   774.7  1382.5  3876.9  9431.1 32354.3  76779.1    76838
read      510.4   894.5   137.8   197.9   211.8   319.7   404.0   473.5   537.2   626.8   783.4  1409.9  3745.6  8619.1 32214.0  72065.7    72106
read      449.9   645.9   148.8   194.3   207.4   314.0   400.3   465.2   517.5   588.2   689.6  1008.0  2744.4  6007.0 29555.2  65517.6    65379
read      370.1   289.8   137.8   195.0   208.1   311.8   396.8   454.7   494.5   535.9   586.8   675.8   897.4  3258.4  9261.3  53593.4    53690
read      350.6   215.3   137.8   194.3   206.9   294.5   366.0   417.3   460.4   507.9   567.6   669.3   873.5  1478.3  5001.9  72678.0    72655
read      354.3   266.8   137.8   195.7   208.3   295.4   367.9   420.4   464.2   513.1   575.0   680.4   894.2  1440.7  7944.5  72393.6    72332
read      362.7   285.7   148.8   195.0   208.0   305.5   387.0   442.8   484.6   529.1   585.6   680.9   880.9  1581.4  7963.5  62574.4    62528
read      384.2   366.5   148.8   199.2   213.5   349.4   435.4   480.6   507.3   537.5   577.5   638.1   790.5  2383.0 25313.6  26792.4    26810
read      422.9   530.7   137.8   195.8   209.3   344.8   447.2   505.4   545.2   598.0   675.7   838.2  1330.0  4192.2 29170.7  39626.7    39569
read      454.3   573.0   137.8   196.8   210.1   320.1   414.2   485.1   542.0   621.5   743.9  1079.6  2491.4  5362.8 25267.7  60745.6    60760
read      448.4   475.5   148.8   196.0   209.1   338.6   447.7   514.1   568.6   639.9   763.1  1048.4  1816.9  4284.6 15994.1  46290.8    46265
read      462.9   565.7   148.8   202.0   216.9   382.5   478.1   532.7   577.2   637.0   733.7   897.4  1439.3  5882.4 28534.9  19958.4    19949
read      461.6   618.0   148.8   198.5   211.9   322.7   416.4   487.0   545.1   627.0   753.2  1104.0  2543.5  5524.8 29620.9  61436.6    61435
read      467.1   737.8   148.8   202.3   216.2   319.1   395.4   456.6   510.0   590.2   720.6  1064.6  3179.0  6739.5 31291.9  83783.8    83890
read      426.1   401.8   148.8   196.3   209.6   346.7   451.4   509.5   552.4   612.1   698.5   883.2  1349.5  4250.2 12336.9  38630.7    38586
read      465.0   683.0   137.8   198.7   212.3   317.1   400.3   466.9   523.6   604.6   735.4  1113.9  2971.6  5442.0 30792.5  71815.2    71822
