Random waveform, supplied seed
Total number of intervals = 600 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319, 77808, 44423, 25669, 66463, 35396, 33885, 11712, 51485, 59378, 94757, 71707, 6184, 52631, 31188, 92326, 78268, 78655, 29798, 96196, 39289, 13806, 86543, 67095, 15164, 21544, 80587, 90870, 18274, 33727, 11433, 17009, 61531, 77691, 75329, 79936, 74872, 7464, 12219, 19906, 18108, 6498, 5794, 54376, 12545, 86110, 9730, 82140, 78511, 68231, 11420, 89777, 75189, 96119, 69998, 79345, 21991, 99920, 15067, 96201, 28442, 23738, 9437, 97039, 39843, 11616, 56350, 24650, 33825, 54193, 76287, 30507, 43736, 81903, 80570, 90992, 78961, 37791, 97764, 71081, 32361, 41597, 36321, 97570, 50500, 32308, 14115, 64826, 67795, 92688, 74427, 31361, 50686, 26859, 15666, 97479, 40641, 35398, 68885, 82658, 37588, 19382, 39597, 57154, 52183, 7024, 16027, 79406, 98199, 75565, 48872, 37140, 91170, 18318, 24202, 7149, 28608, 59337, 71066, 68555, 47586, 81864, 84384, 73197, 58808, 8661, 67893, 27081, 38973, 25147, 30015, 43619, 98527, 67442, 59250, 31042, 23168, 12188, 68103, 44810, 85198, 64988, 38245, 39413, 9583, 89844, 70336, 56324, 64001, 79935, 64293, 40603, 58949, 7297, 42332)
Average QPS expected = 50396
Timestamp start: 1715523166996
Timestamp end: 1715524067912

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      338.2   311.9   160.7   209.2   226.1   318.4   346.3   362.5   372.7   387.7   403.9   439.3   641.1  7186.8  8711.6   7252.0     7434
read      366.3   186.3   148.8   200.6   214.1   325.8   399.1   443.9   478.7   519.0   569.8   652.3   856.7  1198.1  4009.3  66885.3    67201
read      374.8   213.1   148.8   201.3   215.9   335.4   404.5   449.9   483.6   524.2   576.8   667.1   899.3  1633.9 10352.2  85860.0    85927
read      357.7   234.9   148.8   196.6   210.1   320.7   388.5   430.2   461.8   499.1   545.1   615.4   763.4  1847.0  7883.9  63602.7    63953
read      367.1   297.2   148.8   197.6   210.9   328.4   407.3   452.0   482.1   514.7   552.4   616.3   759.2  2210.4 11304.2  31595.3    31595
read      367.7   193.1   148.8   203.3   217.9   335.7   401.7   439.9   469.0   504.7   550.0   626.6   803.3  1874.0  4724.2  87609.3    87879
read      340.9   511.3   148.8   202.9   217.7   310.7   337.9   352.3   363.1   373.9   392.6   422.2   595.8  8792.6 18462.7   7324.7     7287
read      357.3   161.0   148.8   197.4   211.3   325.9   389.8   429.5   461.6   499.8   547.3   621.1   779.6  1340.9  3998.6  61406.7    62295
read      327.7   508.5   160.7   205.9   222.6   305.1   330.5   343.9   354.8   367.0   383.4   410.4   506.5  7986.6 18291.6   6506.0     6561
read      356.1   267.8   160.7   196.9   210.0   328.5   402.0   438.1   461.2   486.0   513.5   555.0   677.8  3688.2 11787.3  22586.0    22532
read      377.3   290.9   148.8   197.4   210.9   328.2   397.1   439.8   471.7   512.8   566.3   654.6  1228.2  3035.4  9720.4  60692.7    60653
read      387.3   307.5   148.8   199.3   212.8   335.8   409.2   456.9   492.5   534.4   587.1   677.3  1162.6  4607.5  7572.0  58813.3    59076
read      369.4   210.8   148.8   198.2   211.8   327.3   399.6   444.7   478.1   518.9   571.7   647.9   869.8  2029.5  8131.1  60178.7    60154
read      375.6   299.5   148.8   197.8   210.8   339.4   419.5   458.8   484.8   513.2   548.9   610.7   926.5  1984.5 12720.6  22720.0    22964
read      347.6   344.3   160.7   200.4   216.8   328.6   363.5   382.6   396.1   412.0   431.9   470.4   658.1  5088.7  8067.4   8254.7     8172
read      368.6   201.5   148.8   195.5   209.3   332.6   409.5   454.0   483.5   515.2   553.5   618.3   974.5  1667.7  4343.2  27762.0    27652
read      379.8   206.6   148.8   196.8   211.0   342.3   416.4   461.9   495.3   532.8   579.2   654.4   993.7  1848.1  7818.7  37297.3    37594
read      375.8   257.2   160.7   198.1   211.4   335.3   416.8   460.9   489.1   518.6   552.4   618.2   978.4  2962.0  8425.5  24537.3    24367
read      382.3   251.0   148.8   196.8   210.9   335.6   414.4   462.5   495.6   533.5   579.3   645.4  1192.7  3004.6  7887.1  33934.0    33771
read      387.1   344.1   148.8   203.9   218.6   340.9   407.3   450.4   483.8   524.4   576.0   659.9   971.6  3842.4 10030.2  85066.0    84944
read      368.3   274.3   148.8   199.1   213.2   328.1   392.5   432.4   464.7   502.3   549.4   631.6   855.9  4138.7  8145.3  86037.3    85666
read      372.4   200.5   148.8   198.4   211.8   336.5   410.9   455.9   489.4   528.0   576.4   651.3   817.7  1553.8  6085.0  51906.0    51918
read      382.7   252.1   148.8   198.3   211.8   341.3   418.5   464.1   498.2   536.0   582.8   660.1  1036.1  2352.3  8772.1  34266.0    34406
read      382.3   311.1   148.8   197.0   210.9   339.8   422.7   468.0   500.0   534.8   577.2   638.4   964.3  3038.5 12360.5  28812.7    28664
read      388.8   235.0   148.8   198.7   213.1   343.4   424.0   469.7   504.9   544.3   593.1   677.1  1194.7  2114.1  7577.6  38173.3    38289
read      365.9   289.3   148.8   196.6   209.6   334.5   412.2   449.1   471.1   497.1   529.8   583.7   886.2  2857.2 11337.3  20704.7    20658
read      347.6   182.1   148.8   196.0   208.9   336.0   392.5   418.6   435.7   456.2   480.5   522.6   727.8  1674.1  9114.2  13858.7    13840
read      370.2   253.6   148.8   201.6   215.7   328.8   391.7   431.2   462.0   499.6   549.9   639.0   968.8  3050.9  6464.3  93208.7    93419
read      362.8   187.6   148.8   203.8   218.9   331.5   391.6   430.1   460.6   497.4   545.8   621.6   801.1  1389.1  5172.1  98600.7    98284
read      492.0  4173.4   148.8   205.2   221.0   362.4   440.5   487.7   523.9   571.4   637.1   754.6   981.3  4830.8 218444.1  71190.0    71313
read      384.2   263.6   148.8   198.5   212.7   340.4   417.4   462.9   496.9   537.4   587.4   670.8  1089.1  2244.7  7862.1  41986.0    42089
read      390.9   256.9   148.8   196.8   211.0   336.4   416.0   462.7   497.9   540.4   594.8   689.2  1419.7  2520.8  8145.1  46424.0    46458
read      377.5   260.8   148.8   196.3   209.6   329.3   416.6   466.9   499.9   534.5   577.3   646.2  1020.5  1588.1  9949.9  30614.7    30755
read      397.8   466.2   148.8   197.7   211.4   336.7   417.7   463.5   497.5   538.5   590.8   677.9  1308.3  4919.9 24469.7  42738.7    42889
