Random waveform, supplied seed
Total number of intervals = 450 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319, 77808, 44423, 25669, 66463)
Average QPS expected = 50157
Timestamp start: 1715520997989
Timestamp end: 1715521898755

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      352.4   459.2   160.7   211.3   229.0   325.7   356.1   371.4   383.8   397.7   418.3   454.8   744.0  7732.7 19775.8   7371.0     7434
read      374.8   178.9   148.8   203.2   217.2   341.5   411.9   454.0   486.3   524.7   573.5   650.6   836.6  1710.1  5827.2  66752.0    67201
read      362.2   179.1   148.8   202.6   216.2   333.2   398.1   435.3   463.1   495.9   538.8   607.1   771.1  1552.2  5523.3  85781.0    85927
read      360.8   155.2   148.8   198.9   212.8   332.4   398.8   438.0   468.1   503.4   548.3   618.5   761.4  1248.4  3890.4  64011.0    63953
read      360.5   217.1   148.8   195.5   208.7   320.9   402.8   451.9   484.4   517.0   551.7   603.7   729.2  1346.0  8031.1  31654.5    31595
read      358.7   198.1   148.8   200.5   214.5   328.4   391.6   429.7   458.5   493.2   537.9   608.3   793.1  1472.2  3987.3  87585.5    87879
read      324.8   300.7   160.7   204.8   221.4   312.6   339.2   353.2   363.4   373.6   391.8   419.8   536.8  4032.0 17953.2   7287.0     7287
read      367.7   247.9   148.8   200.5   214.4   334.2   401.2   441.2   471.8   509.5   557.2   630.8   818.2  1492.5 10917.0  61905.0    62295
read      346.9   408.7   160.7   205.4   222.8   314.1   344.6   362.3   373.7   391.7   416.0   466.6   936.8  6828.6 14698.0   6644.5     6561
read      379.0   220.8   148.8   197.9   210.8   338.6   422.2   464.6   492.8   525.7   572.4   687.9   971.7  1908.6  5870.6  22525.0    22532
read      377.2   250.3   148.8   197.9   212.0   339.6   408.1   449.9   481.3   519.5   569.5   646.7   901.9  2852.0  8128.3  60627.5    60653
read      370.7   197.5   148.8   200.5   214.2   341.4   406.4   446.8   477.3   515.5   565.2   634.5   783.9  1480.2  8167.7  58903.0    59076
read      375.5   290.4   148.8   199.0   212.9   336.9   404.5   446.7   478.5   517.8   570.5   647.1   877.1  2465.4 11495.3  60235.0    60154
read      370.7   251.2   148.8   196.4   209.6   334.6   419.1   461.4   487.8   515.7   549.4   615.8   919.6  1474.3  8048.3  23015.0    22964
read      352.6   479.2   148.8   203.5   220.1   328.2   362.1   380.2   392.6   405.2   427.6   463.8   611.7  8710.2 15886.4   8184.5     8172
read      369.9   237.4   148.8   194.7   208.0   327.5   408.9   456.5   486.6   519.2   558.0   621.7   988.3  1802.1  9285.4  27400.0    27652
read      370.8   200.3   148.8   194.3   208.0   327.9   401.3   451.6   488.4   528.4   574.4   640.7  1059.9  1720.0  6214.9  37860.5    37594
read      367.5   408.1   148.8   194.7   207.6   321.7   402.2   446.1   473.9   503.2   538.6   591.7   962.7  4076.1 19776.2  24479.5    24367
read      378.4   219.1   148.8   198.5   212.4   334.8   411.0   460.9   495.9   534.1   580.6   653.9  1049.7  1830.2  7903.3  33693.0    33771
read      376.4   252.9   148.8   201.9   216.4   335.7   403.5   445.3   475.3   512.3   560.9   635.1   934.9  3072.0  8013.6  84372.5    84944
read      363.7   170.7   148.8   201.9   215.8   333.4   398.9   438.0   467.3   502.3   547.2   623.3   795.0  1393.9  4544.3  85822.0    85666
read      360.5   204.2   148.8   195.7   209.2   328.1   392.6   433.1   466.9   507.4   556.7   624.6   778.9  1532.5  7154.8  51832.5    51918
read      376.9   236.2   148.8   195.7   209.4   330.8   407.1   458.0   493.2   531.7   577.8   649.8  1086.9  2877.8  7553.6  34425.5    34406
read      372.7   252.1   148.8   196.0   209.6   327.4   409.8   459.4   491.5   525.8   566.5   629.7   986.5  2013.2 10348.9  28831.0    28664
read      378.0   340.0   148.8   195.3   209.0   327.8   400.3   450.0   486.6   526.5   574.9   648.1  1086.1  4605.4 16352.1  38113.0    38289
read      368.4   279.5   148.8   195.6   208.2   333.6   413.8   451.8   476.3   501.8   533.6   586.5   884.6  4095.5 12397.3  20838.5    20658
read      350.0   166.0   148.8   195.4   208.2   339.3   396.2   422.2   439.1   459.4   484.6   529.1   745.7  1711.2  5029.1  13947.0    13840
read      385.4   351.0   148.8   204.8   220.6   343.4   408.8   448.0   477.4   512.6   561.5   642.6   972.5  4388.0  7176.9  92873.5    93419
read      363.4   163.3   148.8   205.7   221.5   340.0   399.1   433.1   459.0   490.0   530.7   593.1   740.8  1475.2  4624.7  98537.0    98284
read      363.0   173.2   148.8   201.0   215.0   336.1   401.6   439.7   468.7   503.4   546.5   613.6   750.1  1184.1  6935.4  71237.0    71313
read      373.4   230.5   148.8   201.0   214.5   335.2   406.3   453.4   487.3   524.6   569.3   633.5   824.2  2544.7  7928.1  42000.5    42089
read      383.1   354.9   148.8   199.4   213.7   336.0   405.5   451.1   485.7   525.2   572.9   645.2   976.7  4097.6 11019.9  46300.5    46458
read      375.5   240.4   148.8   201.5   215.2   335.9   417.6   465.2   496.1   529.0   568.6   628.5   796.4  3298.4  9295.3  30636.5    30755
read      380.0   313.9   148.8   201.4   215.1   339.2   410.7   456.0   489.1   526.1   571.0   640.5   842.0  4248.2 12349.3  42765.5    42889
read      373.3   175.2   148.8   207.0   223.1   345.0   407.2   445.7   473.2   507.2   551.1   625.1   815.0  1719.8  6128.1  93479.5    93552
read      367.8   192.2   148.8   201.2   214.8   337.3   403.2   444.7   475.2   512.4   559.6   632.2   804.8  1327.3  5614.2  65779.5    65694
read      372.2   195.7   148.8   202.5   216.1   341.8   419.2   463.0   492.3   524.2   561.5   617.9   749.8  1365.2  8161.7  29306.5    29574
read      371.9   190.0   148.8   200.9   215.1   337.4   407.7   452.8   486.6   525.7   573.9   642.6   821.2  1416.3  5962.8  51556.5    51355
read      370.7   215.4   148.8   200.5   214.3   340.3   408.3   449.1   478.6   513.6   558.4   632.7   808.6  1536.4  8110.2  67402.5    67361
read      358.5   235.3   160.7   204.7   217.9   350.5   409.8   437.6   456.6   476.7   501.7   539.7   634.4   931.6  7683.1  16346.5    16287
read      377.4   171.6   148.8   205.2   220.3   345.1   413.0   454.0   484.9   522.7   571.5   650.6   856.3  1753.2  4059.8  81179.0    81508
read      367.5   153.9   148.8   205.6   220.7   340.8   405.0   443.3   470.6   504.2   546.9   618.2   784.2  1158.7  3921.0  87470.0    87619
read      392.4   175.7   148.8   216.4   234.5   364.3   429.9   469.2   498.5   533.7   580.6   656.4   836.7  1455.7  6624.0  98970.5    99068
read      379.4   192.3   148.8   203.5   217.6   349.0   419.8   462.3   495.0   533.1   580.9   655.1   836.1  1375.1  7641.8  51498.0    51267
read      356.6   246.1   160.7   207.3   221.8   351.0   396.3   418.3   432.6   450.4   469.7   503.0   590.5  2788.7 12477.0  11880.5    11822
read      405.1   211.2   148.8   214.7   232.5   368.1   437.0   479.3   510.4   549.7   608.5   712.2  1033.8  1603.0  8083.9  97290.0    97494
read      375.5   186.9   148.8   210.2   226.4   347.3   409.8   448.4   476.5   510.5   555.6   624.6   789.3  1448.1  8851.9  97373.5    97350
read      378.4   214.8   148.8   202.9   216.8   345.3   415.1   458.3   491.2   529.1   576.6   651.9   839.5  2385.0  7294.2  55839.5    55460
read      361.1   205.4   148.8   201.7   215.8   330.1   392.9   429.8   458.2   492.8   537.6   606.3   776.6  2067.2  7860.3  86189.5    85984
read      374.0   180.5   148.8   205.2   219.9   341.6   410.8   451.7   481.9   518.9   567.3   642.2   825.7  1548.6  4702.5  81987.0    82043
read      371.7   166.5   148.8   202.4   215.8   342.0   411.9   454.5   486.0   522.6   569.0   636.2   792.5  1281.3  4270.4  52795.0    52873
read      357.6   221.8   160.7   203.4   216.0   350.7   403.8   429.2   446.2   464.3   488.6   526.5   630.9  1862.1  8859.8  14011.0    13911
read      378.3   217.0   148.8   202.9   216.7   345.1   415.5   459.3   491.5   529.5   578.0   653.6   834.2  1705.4 10342.2  50105.5    49984
read      348.9   363.8   160.7   203.4   217.3   330.2   367.9   387.2   399.6   416.5   436.4   475.7   641.9  7612.5 14019.7   9367.5     9274
read      372.9   287.6   148.8   198.7   212.1   328.5   410.9   458.5   489.2   521.9   560.4   620.3   943.6  2448.6 12487.2  27240.0    27187
read      367.6   239.1   160.7   198.6   211.0   338.3   412.0   447.4   469.9   494.9   525.7   578.8   903.1  4800.6  7395.6  18780.0    18735
read      381.7   222.6   148.8   204.2   219.6   343.6   413.1   454.7   485.5   522.5   571.9   654.8   938.0  2170.7  7517.8  85994.5    86505
read      393.6   242.8   160.7   210.5   227.5   358.9   427.8   468.5   499.6   536.7   585.8   665.3   883.0  2564.0 11396.2  92707.5    93039
read      383.8   218.1   148.8   204.6   219.6   349.4   421.2   463.0   494.3   532.3   583.6   666.7   868.7  1982.4  6925.9  76009.0    75999
read      386.8   301.1   148.8   201.7   215.5   339.7   420.7   469.8   504.2   542.7   590.2   668.4  1078.3  2017.8 15270.5  32442.0    32324
read      387.6   325.3   148.8   205.6   221.1   348.2   419.4   461.3   492.7   530.4   579.5   659.0   871.5  3602.5  8204.4  83998.0    84255
read      391.5   317.5   160.7   207.2   222.8   352.8   425.4   468.8   501.6   540.4   590.8   672.9   876.1  2053.9 11550.1  81924.5    81759
read      399.0   439.5   148.8   200.4   214.3   347.4   421.8   469.5   504.3   545.7   598.1   680.1  1118.4  4866.8 22644.1  37127.5    37291
read      389.3   237.6   148.8   203.2   216.9   350.8   424.2   467.6   500.8   541.2   594.3   678.8  1022.3  2022.9  9546.0  53962.5    53818
read      369.4   260.6   148.8   197.5   211.0   326.6   407.0   456.6   488.9   523.3   563.3   626.6   950.9  1559.2 12254.3  30372.0    30297
read      377.6   254.2   148.8   199.5   213.0   334.9   413.9   463.0   496.0   531.9   576.6   645.8   958.5  1708.6 11008.5  31577.5    31569
read      378.4   247.9   148.8   196.7   210.3   331.7   405.2   455.2   491.1   531.4   579.4   653.3  1079.4  2692.6  9520.1  38775.5    38927
read      363.2   432.7   160.7   201.7   215.2   334.7   379.5   400.3   415.8   432.5   457.1   500.6   820.5  5946.9 16099.8  10707.0    10652
read      401.9   216.1   148.8   212.2   230.5   365.4   433.1   475.6   508.4   548.5   602.5   691.5   915.5  2564.2  5530.7  97639.5    98119
read      387.0   212.3   160.7   203.9   218.0   358.0   428.6   469.2   500.8   539.3   590.6   668.0   844.9  1828.2  7147.8  48479.0    48176
read      381.6   253.3   148.8   198.7   212.2   335.8   411.3   461.1   496.4   535.8   583.0   658.0  1087.4  2170.8 11084.6  34807.0    34929
read      391.0   231.6   148.8   204.4   219.3   349.4   426.2   469.8   503.0   542.0   594.5   684.2   996.3  2708.9  7320.8  69650.5    69735
read      365.2   222.3   148.8   198.6   211.2   337.9   417.3   455.1   479.3   504.2   535.2   584.9   830.6  1393.8 10111.4  20932.0    20753
read      395.7   331.8   148.8   207.7   223.6   354.4   426.3   469.0   501.7   541.7   592.5   677.3   927.1  2831.6 10294.3  84496.5    84642
read      390.6   287.8   148.8   201.5   214.9   346.1   421.2   467.4   501.9   543.8   597.4   684.6  1107.4  2237.9 10409.6  42361.5    42333
read      380.9   188.3   160.7   203.2   217.3   347.1   416.5   458.9   491.6   531.8   586.5   670.5   874.0  1979.6  6104.1  61190.0    61587
read      383.1   209.1   148.8   205.2   220.0   348.4   422.2   465.5   497.2   534.6   584.0   665.2   850.7  1811.6  7218.7  77750.5    77998
read      399.5   216.4   148.8   216.1   234.2   366.3   433.7   475.0   506.4   544.5   594.7   675.9   872.6  1922.1  7196.2  97645.5    97625
read      367.1   225.8   148.8   196.2   209.0   329.8   414.2   457.9   484.9   513.3   546.7   601.7   920.0  1962.6  8094.0  23746.0    23781
read      382.6   246.1   148.8   200.9   215.0   341.3   413.9   457.6   490.2   529.2   580.8   664.6  1019.1  2319.8  7627.4  66976.0    66723
read      372.0   262.2   148.8   196.6   209.9   331.3   409.6   456.8   489.6   525.1   566.7   630.5   935.0  1585.5 11890.6  30773.5    31016
read      383.1   245.5   148.8   201.0   215.3   346.2   418.3   461.0   493.9   533.9   585.9   668.1   940.2  1881.7  9382.7  47363.0    47394
read      403.8   236.4   160.7   215.1   233.2   367.3   436.2   478.5   510.7   548.2   600.2   683.6   899.1  2746.7  8788.8  95069.5    95335
read      335.4   466.8   160.7   213.6   235.9   305.8   330.4   344.0   355.4   368.5   387.1   421.4   583.4  8230.3 12901.9   5290.0     5252
read      382.5   342.1   148.8   201.8   215.6   342.3   410.0   450.9   482.3   520.9   572.1   657.6   948.6  3372.7 10216.5  65240.0    65908
read      369.8   320.7   148.8   197.1   209.9   342.9   412.6   445.0   465.4   489.4   519.4   577.8   864.2  3903.7 12553.9  16891.5    16889
read      383.7   281.0   148.8   199.2   212.9   338.4   410.1   457.6   493.5   535.1   585.5   664.4  1130.7  2970.7  8948.9  42745.0    42912
read      403.8   333.9   148.8   216.1   234.6   366.6   433.3   473.7   504.7   542.6   591.8   671.0   873.2  4084.2 12124.8  99802.5    99898
read      375.2   206.7   148.8   200.5   213.8   335.3   418.6   463.6   494.2   526.6   564.6   628.5   982.8  1653.5  8056.7  26367.0    26385
read      372.9   343.0   148.8   199.6   212.4   334.6   419.4   461.2   487.1   513.8   547.7   608.7   892.6  3201.0 11731.9  22565.0    22616
read      383.8   188.8   160.7   203.2   217.4   349.5   420.7   464.2   498.0   537.6   587.1   667.6   906.3  1869.9  4723.6  50726.5    50605
