Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1715519515542
Timestamp end: 1715520416184

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      349.3   488.1   160.7   210.2   227.2   323.9   352.7   368.3   379.3   392.7   407.6   435.6   629.6  7810.0 22665.8   7401.0     7434
read      361.8   202.4   148.8   202.6   216.0   332.6   397.5   435.4   464.5   499.8   543.7   610.7   747.0  1514.1  6156.1  66923.8    67201
read      364.7   359.7   148.8   205.5   220.3   335.3   398.9   436.2   464.5   498.6   542.0   610.5   760.3  1698.6  4334.9  86138.2    85927
read      370.5   253.5   148.8   201.9   215.3   335.8   401.4   442.4   473.8   510.9   559.3   630.7   807.9  2122.2  9254.7  64038.0    63953
read      371.9   218.4   148.8   198.0   211.6   328.0   406.7   457.4   491.1   528.0   571.7   636.5   983.1  1721.7  7849.3  31614.4    31595
read      367.7   213.4   148.8   204.4   218.9   333.5   397.5   435.6   464.8   500.4   546.3   620.5   804.6  2485.1  7151.8  88037.4    87879
read      337.0   362.3   160.7   202.6   218.0   319.0   348.7   365.5   376.6   391.3   407.7   445.0   609.9  4493.3 19488.3   7327.2     7287
read      364.0   185.3   148.8   200.0   213.3   331.3   395.7   434.4   465.5   503.5   552.0   626.8   802.4  1863.4  6383.9  62260.4    62295
read      338.0   424.4   160.7   205.6   224.0   311.1   338.4   353.4   364.3   375.7   395.0   428.6   642.3  7550.8 17222.2   6537.2     6561
read      367.3   247.9   160.7   198.4   211.2   331.3   411.1   451.7   477.2   504.1   537.9   590.0   914.9  3173.0 10224.7  22447.0    22532
read      367.2   198.1   148.8   200.2   213.4   332.7   398.5   439.2   470.9   509.9   559.9   634.3   846.6  1787.8  7189.2  60487.0    60653
read      364.5   195.9   148.8   201.7   214.9   333.4   397.2   436.1   468.0   506.6   555.0   625.6   764.9  1731.2  7361.9  58997.4    59076
read      363.5   184.5   148.8   202.1   215.6   333.0   397.2   435.8   466.3   503.4   548.4   616.2   768.5  1651.7  6644.5  60323.6    60154
read      382.2   458.2   148.8   204.2   217.2   340.7   420.0   459.5   484.4   509.5   541.7   589.7   755.3  6457.1 26968.9  22886.4    22964
read      341.5   287.0   160.7   210.3   226.3   331.1   363.0   379.7   392.1   404.5   424.2   452.0   533.5  4067.3 12240.2   8236.8     8172
read      360.9   211.3   148.8   202.3   214.6   327.0   403.4   447.6   475.6   504.3   538.5   587.1   696.1  3041.1  8104.1  27744.6    27652
read      368.2   189.0   148.8   203.0   215.9   335.0   406.0   453.0   485.8   521.5   564.3   628.0   769.4  1098.8  7239.2  37450.2    37594
read      366.0   234.4   148.8   203.5   216.0   336.3   414.6   455.5   481.3   507.7   540.6   589.3   711.0  1615.5  8557.9  24423.0    24367
read      369.4   184.4   148.8   202.9   216.2   337.4   410.5   456.2   487.8   522.3   562.6   622.3   756.7  1310.5  7456.2  33721.4    33771
read      362.9   172.6   148.8   205.2   219.6   334.7   398.9   436.5   465.3   499.5   542.4   610.7   759.3  1258.3  5671.2  84860.6    84944
read      360.8   197.8   148.8   204.4   218.1   330.1   393.2   431.2   460.1   494.4   538.1   604.8   747.3  1735.4  7958.8  85777.0    85666
read      382.8   221.1   148.8   205.3   219.3   349.7   420.0   462.4   495.4   535.6   586.3   662.6   831.9  1812.3  7710.8  51946.2    51918
read      377.7   228.6   148.8   201.3   214.5   333.7   407.9   458.5   493.8   533.0   580.2   649.6  1018.8  1738.3  8487.4  34373.2    34406
read      373.3   336.7   148.8   200.5   212.9   324.9   406.5   455.7   487.9   522.1   561.9   626.3   961.3  3726.6  9751.4  28604.4    28664
read      380.4   269.7   148.8   200.9   213.9   333.8   403.5   453.1   489.6   530.6   579.8   655.8  1095.1  3014.3  9939.2  38132.0    38289
read      368.2   255.6   160.7   201.5   213.5   337.1   417.4   455.8   480.2   505.9   538.7   589.9   846.4  1643.7  9999.7  20668.4    20658
read      357.7   317.2   160.7   202.3   214.3   341.7   397.0   423.6   441.0   460.8   486.1   527.8   700.1  3764.3 15392.7  13824.6    13840
read      374.4   228.0   148.8   207.5   222.6   341.1   402.8   440.4   468.6   503.9   549.8   626.3   860.8  2437.0  6934.0  93362.6    93419
read      389.7   182.2   160.7   216.7   233.8   360.8   425.7   464.2   493.1   527.8   573.6   644.1   825.1  1736.9  6298.1  98087.2    98284
read      384.2   212.9   148.8   206.6   221.1   348.0   421.5   464.6   496.4   534.5   585.2   666.3   861.0  2114.5  7552.2  71471.8    71313
read      382.9   277.6   148.8   202.3   215.1   338.1   406.9   455.0   490.8   532.9   584.8   663.9  1073.7  2311.1 10663.3  41997.8    42089
read      387.1   228.1   148.8   204.2   217.8   346.1   416.5   462.2   498.2   540.5   594.4   677.9  1060.7  2116.7  8061.2  46394.0    46458
read      372.1   236.3   148.8   200.3   213.5   327.9   405.0   456.2   489.2   524.4   566.1   630.3   980.1  1853.6  9295.0  30822.4    30755
read      381.2   258.9   148.8   202.9   216.1   339.3   405.8   452.9   488.7   531.2   584.0   661.4  1042.2  2028.6 10063.6  42997.6    42889
read      379.9   227.8   148.8   210.7   226.6   348.5   412.5   450.9   479.5   514.2   560.8   633.3   840.3  1850.4  8479.0  93730.0    93552
read      379.8   212.8   148.8   205.2   219.2   346.1   418.5   461.0   492.7   530.7   580.5   657.8   838.3  1737.3  5889.1  65795.0    65694
read      371.4   231.9   148.8   200.2   213.1   329.2   407.9   458.0   490.1   524.5   565.4   628.4   963.7  1575.1  8294.0  29622.0    29574
read      385.2   250.8   148.8   205.1   219.1   348.0   416.8   459.8   493.1   534.2   586.6   665.9   903.4  2636.3  7782.4  51220.4    51355
read      375.3   178.5   148.8   204.7   218.7   344.9   415.2   456.8   487.5   524.5   573.0   644.9   803.2  1506.2  5270.5  67243.0    67361
read      359.5   281.3   160.7   200.9   212.9   338.6   402.5   433.2   453.0   473.4   501.1   545.3   790.5  2906.6 14761.3  16177.6    16287
read      378.9   207.7   148.8   206.5   221.1   344.0   412.4   453.6   484.1   521.1   569.0   643.3   866.6  2219.2  6502.0  81630.2    81508
read      381.8   251.7   148.8   208.2   223.4   346.2   414.5   455.4   485.5   521.7   570.4   643.2   852.9  2439.9  7561.1  87341.4    87619
read      361.2   178.1   148.8   207.5   222.8   335.0   392.6   427.2   453.8   485.8   528.3   592.5   743.9  1588.6  7039.2  99370.6    99068
read      386.7   297.1   148.8   205.2   219.8   347.0   417.4   460.2   492.8   531.6   581.5   658.3   890.5  3214.9 12473.1  51255.6    51267
read      402.2   362.7   160.7   206.2   221.3   363.5   424.7   461.1   490.6   529.1   580.0   659.2   978.1  4647.0 14039.3  11838.4    11822
read      407.9   327.4   148.8   217.9   235.7   366.7   433.7   474.5   505.4   543.5   594.0   682.0   960.4  3883.3 10055.5  97361.0    97494
read      434.6   442.6   148.8   219.2   238.1   375.6   447.5   492.9   528.1   571.8   631.6   742.7  1557.4  5438.1 15100.3  97472.4    97350
read      386.0   366.8   148.8   203.6   217.6   338.1   403.7   447.2   480.6   522.0   575.0   653.5  1088.3  4528.7 10943.7  55580.6    55460
