Random waveform, random seed
Total number of intervals = 100 (73632, 63743, 22794, 7197, 68561, 47361, 10933, 62155, 34337, 94199, 98577, 51198, 80694, 95230, 47771, 67382, 93435, 96972, 61885, 41017, 70312, 31066, 40261, 8860, 87264, 23886, 27406, 80203, 8102, 79858, 7970, 56712, 28206, 50132, 29228, 17416, 54504, 72777, 40456, 51254, 80105, 69736, 38700, 90260, 23453, 51791, 71878, 25122, 77264, 13191, 17396, 11019, 92784, 69132, 50852, 64544, 86324, 90708, 45750, 5403, 39867, 36883, 52537, 78897, 7287, 63877, 93244, 15703, 61364, 33300, 54943, 33504, 67466, 79216, 40110, 33148, 63986, 17896, 44762, 29722, 53598, 48224, 74556, 11965, 36668, 37381, 46253, 8828, 39131, 12555, 59678, 14510, 49808, 89125, 42266, 66815, 63316, 63786, 81934, 28930)
Average QPS expected = 50373
Timestamp start: 1715276523768
Timestamp end: 1715277524264

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      345.6   251.2   137.8   184.6   197.8   316.4   382.0   419.0   446.1   478.9   523.9   599.8   775.5  1121.2  8185.1  73576.5    73632
read      352.6   230.5   137.8   185.9   199.3   322.6   390.9   428.9   457.1   491.2   537.8   618.7   794.5  1179.0  9524.6  63591.0    63743
read      358.7   276.2   137.8   186.9   199.3   328.6   401.7   438.4   463.5   492.7   529.6   589.9   807.0  2695.2 10069.1  22841.9    22794
read      349.7   568.5   148.8   198.3   215.9   315.8   347.8   367.4   382.2   400.5   426.9   469.1   663.1  8115.8 29074.8   7196.7     7197
read      366.4   295.5   137.8   187.4   200.6   325.7   397.3   438.5   469.7   509.1   565.4   659.0   896.3  2538.9 11553.9  68457.4    68561
read      390.9   382.7   137.8   186.8   200.0   332.7   408.6   452.6   486.2   529.2   590.4   718.6  1457.0  3796.8 12205.6  47227.1    47361
read      423.0   639.2   148.8   188.5   204.7   363.2   438.4   481.2   509.8   541.5   580.6   640.7  1818.9  7647.2 30123.0  10976.7    10933
read      375.9   365.7   137.8   187.9   200.9   330.7   406.3   449.2   481.0   521.2   576.1   667.5   975.5  2838.1 14493.6  62096.5    62155
read      408.8   489.6   137.8   188.7   202.2   333.8   415.9   465.7   504.9   555.3   636.9   892.2  1312.5  3995.8 25517.2  34261.4    34337
read      354.6   272.1   137.8   190.2   204.6   321.2   384.1   421.5   449.8   485.1   533.8   612.5   794.9  1935.8  9922.5  94149.2    94199
