Random waveform, random seed
Total number of intervals = 90 (61273, 17820, 5094, 75748, 99203, 24965, 9517, 26406, 99648, 99184, 99697, 62459, 6340, 17524, 76747, 65731, 80154, 37713, 25620, 87893, 46684, 25894, 46583, 45571, 36075, 51065, 38258, 69405, 72650, 91169, 5575, 78720, 71788, 47171, 50057, 95625, 40274, 41659, 38057, 17734, 88197, 32472, 16730, 17407, 95583, 83472, 41365, 35790, 9337, 40659, 39690, 97488, 81330, 46816, 64028, 65032, 27115, 36071, 82756, 66214, 40486, 74927, 72567, 23375, 84120, 6390, 99656, 52957, 98580, 7696, 7348, 49044, 78048, 85265, 59800, 62716, 54507, 24309, 10727, 34714, 79578, 54141, 59369, 35959, 98022, 33117, 29978, 84787, 99295, 56806)
Average QPS expected = 53495
Timestamp start: 1715342736777
Timestamp end: 1715343637337

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      390.2   255.0   173.5   223.0   236.7   344.3   413.8   458.8   495.9   542.9   599.7   668.6   825.7  2681.9  8598.3  61192.2    61273
read      427.4   297.6   173.5   221.3   233.5   415.5   493.0   529.8   553.0   579.5   613.7   677.9   923.6  3373.9 12145.1  17861.5    17820
read      426.4   582.9   187.4   244.2   276.9   383.5   409.4   426.0   436.4   455.0   476.5   525.2  1531.4  8842.3 21270.0   5055.6     5094
read      379.4   196.4   160.7   224.5   238.3   343.5   408.0   447.6   478.0   517.9   570.1   640.8   779.2  1521.0  7787.4  75503.8    75748
read      412.6   232.9   173.5   237.5   256.0   382.1   442.5   478.9   506.8   542.2   589.5   670.2   882.2  2224.5  8897.0  99178.7    99203
read      470.9   437.6   173.5   224.0   238.9   422.7   528.7   581.2   617.4   663.1   738.2   870.7  1188.3  3777.8 16561.7  25104.1    24965
read      436.5   420.0   173.5   226.4   241.8   418.1   466.4   495.6   516.6   542.2   577.5   633.8   944.5  5779.6 19545.5   9503.8     9517
read      420.6   865.8   160.7   220.7   233.5   365.7   483.4   532.8   562.7   592.3   626.1   674.9   865.9  3974.8 10217.5  26326.7    26406
read      416.8   299.2   173.5   239.5   258.7   385.6   446.6   482.9   509.6   544.3   590.9   675.7   957.7  2090.0  6968.1  99402.4    99648
read      427.5   302.3   173.5   241.2   260.9   394.4   458.0   496.7   527.0   565.5   621.9   730.3   969.0  1564.2  9220.5  99211.9    99184
read      395.4   189.5   173.5   236.9   254.6   373.1   429.8   462.6   487.7   517.7   557.3   621.7   765.4  1423.3  7686.7  99757.0    99697
read      392.7   227.1   173.5   224.8   239.1   350.2   422.4   466.4   502.5   547.6   603.7   675.1   818.7  1869.8  8016.0  62492.2    62459
read      433.3   527.7   173.5   237.1   260.3   398.5   431.5   452.5   467.4   489.3   518.1   572.5  1293.4  8937.5 18512.5   6323.3     6340
read      509.5   500.6   173.5   226.6   242.4   464.0   564.0   622.0   666.4   720.4   786.7   874.9  1192.1  7035.3 24842.8  17510.3    17524
read      404.6   254.1   173.5   228.7   243.9   363.6   430.9   470.9   503.2   542.6   594.1   675.8   987.6  3023.0  9264.9  76827.7    76747
read      397.4   208.3   173.5   226.6   240.9   358.3   430.4   472.1   506.5   548.5   601.7   675.3   836.8  2131.1  7178.6  65765.4    65731
read      393.4   217.5   173.5   229.0   243.9   360.3   425.0   463.1   493.1   530.1   578.3   650.0   809.8  2132.2  7869.5  80156.7    80154
read      460.3   370.0   173.5   224.7   239.0   367.9   480.2   554.6   603.9   657.7   738.3  1006.7  1464.7  3004.6 13129.7  37757.8    37713
read      453.2   323.0   173.5   223.8   237.5   401.5   513.7   567.2   600.7   638.2   693.0   840.5  1191.3  3885.3 12091.3  25585.5    25620
read      412.9   283.0   160.7   232.6   249.2   372.2   434.6   471.3   501.0   537.4   585.7   666.4  1149.9  3555.6  8148.6  87884.1    87893
read      409.4   296.3   173.5   224.0   238.4   356.2   441.8   495.6   538.9   588.5   640.6   705.3   868.4  3082.5  9579.8  46750.3    46684
read      459.9   343.9   173.5   224.2   238.2   402.1   517.4   572.1   607.5   648.0   716.0   880.0  1241.3  3573.3 12115.4  25856.5    25894
read      423.7   332.7   160.7   223.2   237.1   352.4   438.2   498.5   546.1   597.9   654.4   745.3  1444.0  3347.5 10487.8  46568.8    46583
read      413.4   374.3   160.7   223.2   237.0   351.3   438.2   497.1   543.9   594.4   647.0   715.3   967.2  4050.4 12068.2  45543.9    45571
read      478.6   442.7   173.5   224.0   238.3   374.5   504.4   579.5   629.4   689.9   803.3  1053.5  1459.2  4490.1 13585.6  36055.2    36075
read      408.7   592.2   160.7   224.7   238.8   355.3   434.2   484.4   527.4   578.9   634.8   705.7   907.9  3017.3 10992.0  51169.3    51065
read      479.3   445.4   173.5   224.6   239.0   373.2   496.7   572.8   623.8   683.5   793.5  1070.1  1516.7  5315.3 13489.4  38224.6    38258
read      416.0   285.0   173.5   225.9   240.8   361.7   432.8   475.6   510.6   556.0   617.5   712.9  1523.3  2941.4  8609.3  69508.5    69405
read      397.6   245.2   173.5   226.6   241.3   358.8   427.1   467.4   500.0   540.4   592.6   671.7   859.2  2320.4  9336.9  72681.9    72650
read      397.4   255.8   173.5   231.5   247.7   365.8   426.6   462.3   490.3   524.6   569.9   638.4   833.1  2535.6 10020.7  91256.9    91169
read      419.4   514.8   187.4   237.0   264.5   385.1   414.5   432.4   447.6   465.8   493.8   540.8  1282.8  7922.6 18695.1   5602.9     5575
read      416.3   370.6   173.5   228.6   244.0   366.6   434.6   474.6   506.7   546.7   600.2   685.4  1341.4  4768.0 12619.0  78548.6    78720
read      397.9   288.1   173.5   226.2   240.7   357.2   426.9   467.9   500.8   541.7   593.8   671.5   852.0  2458.8 12048.5  71822.8    71788
read      408.4   300.8   173.5   224.1   238.2   353.5   437.1   492.6   538.5   590.6   644.0   710.1   881.0  2755.7 10119.2  47233.3    47171
read      405.2   236.5   173.5   225.0   239.2   355.6   434.9   486.6   530.6   583.0   637.2   704.1   863.8  2425.9  7637.1  50160.8    50057
read      405.2   215.8   173.5   236.1   253.6   376.2   435.5   470.8   498.9   532.5   577.3   648.3   858.1  2171.8  7736.9  95349.1    95625
read      476.1   402.0   173.5   226.3   241.8   371.5   488.9   565.6   618.4   677.9   778.7  1068.8  1547.8  4383.1 10734.7  40191.7    40274
read      463.1   349.3   173.5   224.9   239.7   366.3   478.9   553.4   606.0   663.7   743.9  1018.0  1501.8  4040.4  9926.1  41734.1    41659
read      483.1   446.0   173.5   223.6   238.2   377.0   503.2   575.7   626.5   689.3   816.9  1089.2  1528.1  4562.5 13762.2  38074.5    38057
read      490.4   834.6   173.5   220.5   234.6   445.3   523.4   567.2   600.7   645.6   710.3   807.2  1253.5  8621.8 32259.7  17646.9    17734
read      408.9   365.5   173.5   229.7   245.8   366.9   429.9   466.7   495.8   531.5   579.9   660.1  1059.3  3970.8 12740.6  88243.2    88197
