Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715366409457
Timestamp end: 1715367309947

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      358.3   326.4   148.8   209.5   229.0   341.4   371.7   389.0   400.3   415.9   434.1   467.7   629.9  4896.5 12651.1   7383.6     7434
read      366.5   228.7   137.8   193.7   208.6   339.0   406.7   445.3   473.0   506.8   550.2   620.5   790.6  1593.4 10010.6  67021.8    67201
read      375.2   195.6   148.8   199.3   215.4   341.8   410.7   451.5   481.9   520.2   571.7   653.2   876.2  1416.7  6670.9  85970.9    85927
read      382.1   208.3   148.8   201.0   216.2   346.6   421.1   464.0   496.9   537.0   588.4   668.3   863.4  1615.7  7366.1  63962.5    63953
read      372.1   213.1   148.8   198.1   213.7   338.8   422.1   467.7   497.1   528.1   562.9   611.2   721.9  1880.7  9121.0  31648.9    31595
read      379.0   207.4   148.8   201.2   217.5   345.0   413.9   454.2   484.3   521.5   571.7   654.5   878.0  1896.2  7464.8  87768.4    87879
read      357.6   366.9   148.8   209.3   228.3   338.8   367.8   383.7   394.9   407.2   427.3   462.1   632.5  5973.5 15470.9   7326.5     7287
read      374.3   199.6   148.8   195.9   211.2   344.5   414.9   455.6   485.8   522.5   569.9   641.2   861.7  1377.0  7723.8  62266.6    62295
read      355.8   349.7   148.8   209.0   230.9   335.3   365.2   381.6   393.9   407.4   428.7   465.1   615.8  5602.4 12669.7   6543.5     6561
read      378.3   232.2   148.8   197.3   212.0   350.0   434.5   474.3   499.8   528.0   561.4   614.4   792.5  2066.2  9238.1  22632.6    22532
read      362.6   180.5   137.8   193.6   208.4   340.8   407.5   444.9   471.6   505.0   546.3   605.9   739.6  1081.5  6437.2  60649.3    60653
read      368.0   212.5   148.8   194.2   209.1   342.8   410.1   448.9   477.3   511.5   553.9   616.3   768.4  2136.8  8087.0  59037.2    59076
read      372.8   217.0   148.8   193.8   208.3   338.8   409.5   451.7   483.1   521.8   572.4   646.2   872.9  1939.3  6432.0  60216.9    60154
read      424.6   469.3   148.8   201.4   216.7   371.5   462.4   506.8   538.2   576.4   630.9   755.5  1156.2  5624.9 15683.5  22947.4    22964
read      372.1   476.8   148.8   211.1   229.7   350.5   385.1   402.6   416.8   431.7   453.5   488.6   718.0  6728.2 20198.0   8176.7     8172
read      429.3   561.6   148.8   194.0   209.1   350.1   447.7   498.8   534.8   579.2   647.1   840.5  1384.5  6894.6 29593.9  27700.8    27652
read      375.0   281.9   137.8   193.0   207.6   333.0   410.2   460.0   495.3   534.2   578.8   638.4   859.9  2316.2  9824.2  37645.4    37594
read      427.0   544.1   148.8   193.8   208.3   357.0   455.3   503.5   538.0   582.2   662.0   834.7  1221.1  6618.4 29279.0  24495.7    24367
read      381.5   421.9   148.8   194.8   209.9   339.9   420.9   466.6   497.4   531.1   571.2   628.0   798.6  3866.9 15695.6  33814.3    33771
read      367.1   189.4   148.8   198.0   213.5   335.9   404.5   445.4   474.4   509.7   556.7   628.5   789.9  1382.3  7635.4  85041.2    84944
read      372.0   206.0   148.8   200.6   216.6   340.4   410.7   451.3   480.8   516.7   564.2   636.7   803.7  1348.6  7941.7  85549.4    85666
read      379.2   195.8   148.8   201.6   217.4   349.1   422.0   465.0   497.7   535.9   582.4   646.6   789.6  1306.8  7739.2  51919.6    51918
read      384.5   242.3   148.8   200.8   216.6   345.9   431.4   481.3   514.6   549.4   589.5   643.3   778.7  1843.3 10338.6  34373.9    34406
read      378.7   208.1   148.8   201.0   215.9   339.1   429.8   478.2   509.4   542.9   581.0   631.5   797.6  1632.6  7735.5  28712.0    28664
read      383.9   295.4   148.8   201.2   216.2   340.0   416.1   468.3   506.8   547.9   594.9   656.9   814.7  2411.8 10055.4  38382.5    38289
read      425.4   354.7   148.8   209.6   225.6   376.9   469.3   513.1   542.7   581.9   646.0   785.7  1064.4  4407.4 12003.6  20674.0    20658
read      411.8   372.9   160.7   216.4   232.2   382.6   447.7   480.6   504.1   536.3   585.8   677.6   903.1  3504.6 17021.7  13845.3    13840
read      386.0   309.6   148.8   205.6   221.5   345.7   414.2   455.4   486.2   523.8   572.8   648.6   862.3  4511.8  9298.4  93205.2    93419
read      380.1   286.8   148.8   205.2   221.7   345.7   412.4   453.0   483.2   519.5   568.1   641.8   822.3  1762.3  9429.4  98185.6    98284
read      376.0   215.9   148.8   198.9   213.2   338.3   412.9   456.4   488.3   526.8   576.7   650.9   861.5  2141.5  7527.7  71245.7    71313
read      383.8   280.4   148.8   197.6   212.3   341.6   417.2   467.1   505.3   547.7   596.8   663.2   846.1  2364.2  9924.2  42120.5    42089
read      380.3   232.8   148.8   197.5   211.9   344.0   417.1   463.4   498.9   540.7   590.5   659.4   833.7  2016.8  9892.6  46490.6    46458
read      378.0   270.3   148.8   197.8   211.8   335.6   419.2   469.3   502.1   538.2   580.3   637.3   824.3  2238.3 10154.9  30649.2    30755
read      382.7   273.7   148.8   198.5   213.5   344.7   417.4   463.5   498.3   538.6   586.5   655.4   851.7  2563.9  9386.7  42733.7    42889
read      396.2   356.5   148.8   208.1   225.1   351.2   420.5   462.1   494.0   532.6   583.2   666.0   985.1  3616.5 10516.4  93612.8    93552
read      384.9   304.9   148.8   200.7   215.2   344.1   419.7   463.6   496.5   535.7   585.4   662.0   871.3  3012.0  9908.1  65619.3    65694
read      390.0   310.1   148.8   200.9   215.6   338.8   432.7   483.7   516.1   549.6   589.8   657.0  1032.3  2724.5 12427.9  29549.7    29574
read      384.6   299.9   148.8   197.9   212.1   341.7   412.9   460.0   496.7   540.6   594.5   670.5   949.1  2932.1  9801.8  51476.3    51355
read      377.6   238.3   148.8   198.9   213.2   338.4   411.1   454.5   487.1   527.1   579.4   656.6   874.7  2618.0  8042.6  67441.0    67361
read      474.4   651.9   148.8   209.2   226.3   408.6   501.1   559.9   605.6   656.8   714.9   800.4  1350.3  7909.9 31624.7  16214.1    16287
read      384.0   325.3   148.8   201.7   216.5   338.6   409.2   452.7   485.0   524.6   576.6   658.2   990.9  3429.6 10158.2  81613.8    81508
read      372.3   255.1   148.8   201.4   216.0   335.7   402.6   443.8   474.1   511.5   560.5   636.9   827.6  2188.5  9035.2  87641.8    87619
read      382.5   272.4   148.8   204.9   221.5   346.7   412.9   452.9   483.1   520.5   570.0   648.6   850.4  2720.0 10010.3  99015.9    99068
read      381.9   239.1   148.8   199.0   213.4   342.9   415.8   462.1   498.7   543.2   597.4   671.1   864.4  1920.0  9181.5  51199.2    51267
read      437.1   629.6   160.7   208.6   225.8   385.2   456.9   500.7   533.8   571.3   616.9   683.0  1165.3  7398.6 31538.4  11864.3    11822
read      386.2   385.9   148.8   203.1   219.4   344.5   409.5   449.5   479.1   516.6   567.0   645.9   863.8  4816.6 12555.4  97487.3    97494
read      369.1   226.3   148.8   202.8   218.5   338.5   401.5   439.5   467.9   503.4   548.9   622.6   798.7  1707.1  8327.2  97337.5    97350
read      382.4   243.7   148.8   198.7   213.1   346.4   418.9   463.4   498.2   540.6   594.2   670.9   859.8  1841.8  9037.8  55515.8    55460
read      372.6   253.6   148.8   200.4   215.3   336.9   404.8   446.1   475.9   513.3   562.8   637.0   829.8  1968.0  8536.2  86046.0    85984
read      374.4   273.7   148.8   199.1   213.9   335.9   404.5   446.4   476.9   515.2   566.2   641.4   860.9  2845.8  8894.2  81750.2    82043
read      378.5   219.8   148.8   199.0   214.1   341.2   409.8   455.6   492.6   538.8   594.7   667.3   815.8  1656.7  7839.7  52908.3    52873
read      455.4   614.0   148.8   215.2   233.0   394.4   470.2   516.8   553.2   598.0   652.0   732.2  1314.9  8181.3 29282.0  13854.7    13911
read      389.6   246.1   148.8   200.9   216.3   342.1   413.9   463.3   503.3   552.4   612.4   691.3  1135.5  1869.7  8926.5  50031.5    49984
read      446.2  1621.7   148.8   217.8   235.0   374.7   435.1   468.6   495.1   525.7   563.5   623.4  1113.3 13682.7 37326.1   9257.2     9274
read      457.3  1514.4   148.8   207.7   224.2   369.9   477.5   535.7   577.1   627.9   712.5   879.3  1265.2  4844.8 29157.3  27146.7    27187
read      455.0  1355.1   148.8   210.9   227.5   393.4   481.4   528.2   565.1   617.2   690.6   796.4  1160.5  5386.4 21032.1  18672.9    18735
read      387.0   317.4   148.8   200.7   215.5   338.2   406.7   448.6   479.6   518.9   572.8   661.8  1448.6  3167.5  9843.1  86510.7    86505
read      366.5   297.8   148.8   200.8   215.5   330.9   395.1   433.5   462.5   497.6   543.5   616.4   793.9  2623.3 11549.0  92962.7    93039
read      367.4   243.0   148.8   198.7   212.8   329.8   399.1   440.6   471.2   509.4   560.7   635.3   809.6  2039.2  9148.9  75861.4    75999
read      425.9   399.8   148.8   202.1   217.1   343.6   448.6   509.6   552.2   602.0   676.6   885.9  1284.5  4239.3 12110.6  32416.1    32324
read      364.2   230.5   148.8   201.7   215.9   329.9   395.4   434.1   463.3   499.2   545.9   620.9   790.8  1975.3  7617.1  84231.5    84255
read      370.0   278.7   148.8   203.3   217.7   332.7   400.4   440.9   470.5   507.1   555.4   630.1   797.4  2332.6 10582.2  81722.6    81759
read      375.5   279.2   148.8   199.4   213.9   325.4   404.9   461.0   500.2   542.7   590.3   648.6   803.9  2175.4  9811.2  37288.6    37291
read      372.0   264.5   148.8   197.3   211.8   333.3   398.9   442.7   478.8   525.0   582.4   654.4   811.6  1767.3  9027.6  53637.4    53818
read      425.3   473.1   148.8   201.3   216.0   343.4   451.3   509.8   551.0   600.0   674.2   875.1  1252.8  4510.1 19263.9  30245.5    30297
read      425.5   386.4   148.8   200.2   215.0   343.5   450.4   511.2   554.3   606.8   692.5   910.7  1252.6  3790.6 12678.9  31475.9    31569
read      377.0   275.4   137.8   199.4   214.3   330.1   407.4   462.4   501.8   545.4   593.8   653.6   797.6  2045.6  9527.5  38910.5    38927
read      444.6   808.5   148.8   212.8   229.7   378.5   446.0   483.1   509.9   544.6   585.4   645.3  1516.4 12214.8 32155.1  10685.3    10652
read      386.4   373.7   148.8   207.7   223.8   342.4   405.4   445.5   475.2   512.3   562.9   639.4   910.9  4575.0 12021.5  98043.3    98119
read      375.6   235.2   148.8   201.2   215.3   333.8   402.0   449.5   487.3   532.5   586.4   655.3   860.4  2059.6  8123.4  48367.0    48176
read      387.8   335.4   148.8   200.2   213.8   326.2   413.0   471.6   510.1   552.8   602.3   676.5  1150.0  3346.5 11193.4  35050.1    34929
read      365.4   239.6   148.8   202.0   215.2   329.7   396.9   436.9   468.0   506.1   556.2   629.7   774.4  1895.0  9300.1  69702.7    69735
read      460.5   474.3   148.8   206.9   222.5   395.1   498.8   564.6   619.5   683.9   754.4   854.7  1154.2  4841.3 19026.4  20839.1    20753
read      379.1   297.0   148.8   204.2   218.6   334.1   400.7   440.9   471.0   508.8   560.2   640.3  1139.4  3308.5  8967.9  84716.2    84642
read      372.7   297.3   137.8   198.7   212.8   326.8   399.3   451.3   490.4   534.8   586.8   649.3   798.9  1964.6 13844.6  42415.2    42333
read      371.4   231.1   148.8   202.3   215.8   333.5   400.8   443.7   477.2   519.3   573.6   646.8   805.7  1931.4  8415.6  61538.8    61587
read      370.2   259.1   148.8   203.3   217.2   331.8   399.8   440.8   471.1   508.2   558.0   633.8   810.6  2511.7  8752.2  77917.9    77998
read      366.0   231.2   148.8   205.2   220.7   335.0   395.9   432.6   460.7   495.1   540.0   610.6   777.5  1980.0  8723.2  97708.7    97625
read      419.6   491.6   148.8   197.6   211.4   354.1   456.4   503.9   537.6   579.9   644.2   803.0  1141.8  5729.0 28775.7  23805.4    23781
read      378.5   272.9   148.8   203.6   217.5   338.1   406.8   450.0   482.0   521.2   573.7   650.0   881.1  2657.3  8632.3  66619.7    66723
read      427.6   488.8   148.8   204.8   219.5   344.4   444.6   503.7   543.7   591.9   660.8   858.6  1275.8  5889.8 23103.9  30906.2    31016
read      407.9   579.0   148.8   203.2   217.3   339.6   411.1   459.7   497.5   543.0   600.5   678.2  1378.0  7400.2 30369.1  47308.7    47394
read      390.4   391.2   148.8   209.3   225.6   347.1   413.6   454.6   485.5   523.4   573.3   649.9   862.3  4921.8 15379.5  95128.5    95335
read      404.3   869.4   160.7   230.6   255.1   337.2   367.9   386.6   399.8   419.1   445.4   500.0  1591.4 12458.2 32158.3   5278.3     5252
read      390.4   392.6   148.8   204.9   220.1   342.5   413.8   457.7   491.4   532.7   586.3   669.1  1021.8  3647.4 23646.5  65733.4    65908
read      368.7   238.0   148.8   203.0   216.8   357.4   425.5   455.0   473.1   493.3   515.8   548.5   632.9  2543.0  9410.4  16956.2    16889
read      366.5   196.0   148.8   196.0   210.6   332.8   406.6   455.7   490.8   528.4   570.5   625.3   731.2  1426.5  7967.4  42837.9    42912
read      357.7   157.3   148.8   204.6   220.4   333.8   394.0   429.3   455.4   486.2   526.5   587.8   718.9   935.8  5052.0  99824.6    99898
read      374.8   217.6   148.8   197.2   211.8   335.5   438.4   484.3   511.5   538.8   570.8   615.9   706.8  2126.1  9727.4  26303.9    26385
read      375.8   236.5   148.8   199.3   213.7   347.6   442.8   481.7   504.6   529.3   556.6   594.8   686.1  2131.5  8656.3  22440.7    22616

Total QPS = 51566.5 (46409844 / 900.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 11463231468 bytes :   12.1 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.96%,49.75%,100.00%
