2024-05-11T11:32:16.246036 start scheduler
2024-05-11T11:32:16.246090 start memcached [0,1] 2
2024-05-11T11:32:16.683295 start radix [2,3] 2
2024-05-11T11:32:16.687979 custom memcached AVG QPS: 7673.0
2024-05-11T11:32:16.793210 custom memcached AVG QPS: 4196.0
2024-05-11T11:32:16.805733 update_cores memcached [0]
2024-05-11T11:32:16.825620 update_cores radix [1,2,3]
2024-05-11T11:32:16.930852 custom memcached AVG QPS: 3128.3333333333335
2024-05-11T11:32:17.036392 custom memcached AVG QPS: 2534.5
2024-05-11T11:32:17.141963 custom memcached AVG QPS: 2176.2
2024-05-11T11:32:17.247476 custom memcached AVG QPS: 796.8
2024-05-11T11:32:17.352853 custom memcached AVG QPS: 807.0
2024-05-11T11:32:17.458353 custom memcached AVG QPS: 758.0
2024-05-11T11:32:17.563922 custom memcached AVG QPS: 768.0
2024-05-11T11:32:17.669204 custom memcached AVG QPS: 770.0
2024-05-11T11:32:17.774698 custom memcached AVG QPS: 767.6
2024-05-11T11:32:17.880127 custom memcached AVG QPS: 760.4
2024-05-11T11:32:17.985774 custom memcached AVG QPS: 754.6
2024-05-11T11:32:18.091267 custom memcached AVG QPS: 749.2
2024-05-11T11:32:18.196806 custom memcached AVG QPS: 761.4
2024-05-11T11:32:18.302980 custom memcached AVG QPS: 768.6
2024-05-11T11:32:18.408195 custom memcached AVG QPS: 777.6
2024-05-11T11:32:18.513686 custom memcached AVG QPS: 787.6
2024-05-11T11:32:18.619302 custom memcached AVG QPS: 793.6
2024-05-11T11:32:18.724620 custom memcached AVG QPS: 792.0
2024-05-11T11:32:18.830117 custom memcached AVG QPS: 784.0
2024-05-11T11:32:18.935453 custom memcached AVG QPS: 794.4
2024-05-11T11:32:19.040877 custom memcached AVG QPS: 805.6
2024-05-11T11:32:19.146938 custom memcached AVG QPS: 788.6
2024-05-11T11:32:19.252401 custom memcached AVG QPS: 782.0
2024-05-11T11:32:19.357728 custom memcached AVG QPS: 782.2
2024-05-11T11:32:19.463299 custom memcached AVG QPS: 772.0
2024-05-11T11:32:19.568505 custom memcached AVG QPS: 766.2
2024-05-11T11:32:19.674182 custom memcached AVG QPS: 777.0
2024-05-11T11:32:19.779547 custom memcached AVG QPS: 784.8
