Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1715518410824
Timestamp end: 1715519311393

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      360.9   532.8   160.7   209.6   226.1   323.5   351.8   367.3   378.0   392.1   407.8   438.4   966.5  8600.8 19978.1   7364.0     7434
read      358.1   172.6   148.8   200.9   214.0   329.0   392.7   430.9   461.1   497.6   542.3   609.8   746.3  1420.4  4473.2  66978.8    67201
read      355.8   182.9   148.8   201.7   215.1   326.9   388.9   425.5   453.4   487.2   531.6   596.6   744.8  1588.7  6914.8  85956.4    85927
read      362.8   191.3   148.8   200.1   213.2   329.7   395.0   435.4   467.0   505.4   553.3   626.3   794.2  1666.8  5981.8  64022.0    63953
read      372.1   260.6   148.8   196.3   209.3   325.9   404.8   455.8   489.5   525.5   567.9   632.9   988.8  2163.1  9912.2  31589.8    31595
read      361.1   253.3   148.8   201.6   214.9   325.5   386.7   424.1   453.2   488.6   535.4   610.0   828.0  2410.4  7019.1  87705.8    87879
read      332.0   303.1   160.7   205.0   221.6   317.8   346.9   363.6   374.1   389.1   404.4   436.8   581.8  4067.6 12312.3   7261.6     7287
read      351.7   185.5   148.8   195.4   208.2   318.1   377.8   416.2   447.6   487.8   539.0   609.8   761.6  1904.4  6165.9  62168.6    62295
read      333.3   397.8   160.7   206.3   224.7   312.6   339.8   354.9   365.8   378.2   397.0   430.8   583.9  6088.8 14755.0   6555.6     6561
read      367.4   307.3   148.8   197.5   210.2   328.2   410.4   452.5   478.4   504.7   538.1   590.2   872.9  3550.0 12144.6  22448.4    22532
read      368.2   304.6   148.8   199.1   212.2   328.8   394.5   435.3   468.5   508.6   559.0   632.7   830.3  2446.7 10195.6  60722.6    60653
