2024-05-06T21:21:40.612873 start scheduler
2024-05-06T21:21:40.709670 start memcached [0,1]
2024-05-06T21:21:40.625252 update_cores memcached [0]
2024-05-06T21:21:47.506053 start radix [2,3] 2
2024-05-06T21:21:47.801519 update_cores radix [2,3]
2024-05-06T21:21:47.824711 update_cores memcached [0,1]
2024-05-06T21:21:48.099189 update_cores memcached [0]
2024-05-06T21:21:48.130516 update_cores radix [1,2,3]
2024-05-06T21:21:48.414921 update_cores radix [2,3]
2024-05-06T21:21:48.436913 update_cores memcached [0,1]
2024-05-06T21:21:48.713515 update_cores memcached [0]
2024-05-06T21:21:48.745417 update_cores radix [1,2,3]
2024-05-06T21:21:49.031026 update_cores radix [2,3]
2024-05-06T21:21:49.051841 update_cores memcached [0,1]
2024-05-06T21:21:49.326202 update_cores memcached [0]
2024-05-06T21:21:49.362239 update_cores radix [1,2,3]
2024-05-06T21:21:49.647669 update_cores radix [2,3]
2024-05-06T21:21:49.664849 update_cores memcached [0,1]
2024-05-06T21:21:49.941951 update_cores memcached [0]
2024-05-06T21:21:49.971293 update_cores radix [1,2,3]
2024-05-06T21:21:50.255978 update_cores radix [2,3]
2024-05-06T21:21:50.273984 update_cores memcached [0,1]
2024-05-06T21:21:50.548873 update_cores memcached [0]
2024-05-06T21:21:50.580900 update_cores radix [1,2,3]
2024-05-06T21:21:50.869984 update_cores radix [2,3]
2024-05-06T21:21:50.892615 update_cores memcached [0,1]
2024-05-06T21:21:51.165999 update_cores memcached [0]
2024-05-06T21:21:51.207260 update_cores radix [1,2,3]
2024-05-06T21:21:51.498312 update_cores radix [2,3]
2024-05-06T21:21:51.516555 update_cores memcached [0,1]
2024-05-06T21:21:51.787768 update_cores memcached [0]
2024-05-06T21:21:51.822648 update_cores radix [1,2,3]
2024-05-06T21:21:52.114193 update_cores radix [2,3]
2024-05-06T21:21:52.136337 update_cores memcached [0,1]
2024-05-06T21:21:52.409964 update_cores memcached [0]
2024-05-06T21:21:52.440993 update_cores radix [1,2,3]
2024-05-06T21:21:52.743287 update_cores radix [2,3]
2024-05-06T21:21:52.764883 update_cores memcached [0,1]
2024-05-06T21:21:53.041601 update_cores memcached [0]
2024-05-06T21:21:53.072281 update_cores radix [1,2,3]
2024-05-06T21:21:53.365825 update_cores radix [2,3]
2024-05-06T21:21:53.385495 update_cores memcached [0,1]
2024-05-06T21:21:53.658168 update_cores memcached [0]
2024-05-06T21:21:53.684223 update_cores radix [1,2,3]
2024-05-06T21:21:53.960523 update_cores radix [2,3]
2024-05-06T21:21:53.977946 update_cores memcached [0,1]
2024-05-06T21:21:54.249609 update_cores memcached [0]
2024-05-06T21:21:54.295679 update_cores radix [1,2,3]
2024-05-06T21:21:54.598698 update_cores radix [2,3]
2024-05-06T21:21:54.629691 update_cores memcached [0,1]
2024-05-06T21:21:54.899545 update_cores memcached [0]
2024-05-06T21:21:54.944217 update_cores radix [1,2,3]
2024-05-06T21:21:55.241412 update_cores radix [2,3]
2024-05-06T21:21:55.258833 update_cores memcached [0,1]
2024-05-06T21:21:55.531236 update_cores memcached [0]
2024-05-06T21:21:55.572704 update_cores radix [1,2,3]
2024-05-06T21:21:55.873644 update_cores radix [2,3]
